idx	case	candidate	subject	relation	polarity	modality	predicate	quote	joined_finding	finding_polarity	defect	useful
152	MCR_seq200b/257	Abscess	Abscess	feature_of	asserted	typical	fever	Fever may occur, especially with surrounding cellulitis	fever	absent		
153	MCR_seq200b/257	Septic Arthritis	Rheumatoid Arthritis	feature_of	asserted	typical	age younger than 30 years at onset	Worse outcomes are usually seen in patients with a high titer of autoantibodies, HLA-DRB1 genotypes, age younger than 30 years at onset	age	present		
154	MCR_seq200b/326	Brucellosis	Brucellosis	feature_of	asserted	typical	positive Brucella serology	Brucella serology (positive in 83%)	serological test for tuberculosis	absent		
155	MCR_seq200b/326	Epidural abscess	Spinal Epidural Abscess	feature_of	negated	occasional	osseous destruction	osseous destruction may be absent	osteolytic destruction of neural arch of T9	present		
156	MCR_seq200b/475	Neuralgic Amyotrophy	Neuralgic Amyotrophy	feature_of	asserted	typical	sensory disturbances	In many cases, disorders affecting peripheral nerves or the brachial plexus present with overlapping or nonspecific symptoms such as weakness, sensory disturbances, or pain	sensory deficits	absent		
157	MCR_seq200b/475	Anterior Interosseous Nerve Syndrome	Anterior Interosseous Syndrome	feature_of	asserted	occasional	biceps reflex abolition	Either the biceps or triceps reflex may be abolished	tendon reflexes	normal		
158	MCR_v1_seq100/49	Appendiceal stump appendicitis	Appendicitis	feature_of	asserted	typical	generalized peritonitis	perforated appendicitis with generalized peritonitis	peritoneal signs	absent		
159	MCR_v1_seq100/49	Cecal diverticulitis	Diverticulitis	feature_of	asserted	typical	abdominal pain	Abdominal pain is one of the most common complaints	right iliac fossa pain	present		
160	MCR_v1_seq100/56	Carcinoma	Basal Cell Carcinoma	feature_of	asserted	typical	high nuclear to cytoplasmic ratio	high nuclear to cytoplasmic ratio	nuclear enlargement	present		
161	MCR_v1_seq100/56	Leiomyosarcoma	Kaposi sarcoma	feature_of	asserted	obligatory	spindle cell vascular proliferation	spindle cell vascular proliferation	atypical spindle cells	present		
162	MCR_v1_seq100/74	Catecholaminergic Polymorphic Ventricular Tachycardia	polymorphic ventricular tachycardia (PVT)	feature_of	asserted	typical	prolonged QT interval	PVTs usually occur in the context of ... prolonged QT interval	QTc interval	present		
163	MCR_v1_seq100/91	Cavernous Angioma	Cavernous angioma	feature_of	asserted	typical	elevated risk of hemorrhage	elevated risk of hemorrhage	left occipital intraparenchymal hemorrhage	present		
164	MCR_v2_seq100/179	Pulmonary Atresia with Ventricular Septal Defect	Partial Atrioventricular Septal Defect	feature_of	asserted	typical	ostium primum atrial septal defect	ostium primum atrial septal defect	ventricular septal defect	present		
165	DA_d2_heldout200b/522	Catatonia	Catatonia	feature_of	asserted	typical	change in movement and behavior	Catatonia is characterized by a change in movement and behavior, either increased, decreased, or abnormal,	abnormal behaviors	present		
166	DA_d2_heldout200b/522	Vitamin B12 deficiency	Vitamin B12 deficiency	feature_of	asserted	typical	elevated homocysteine	Diagnosis of B12 deficiency may be done by labs illustrating an increase in both methylmalonic acid and homocysteine	homocysteine	present		
167	DA_d2_heldout200b/522	Vitamin B12 deficiency	Vitamin B12 deficiency	caused_by	asserted	typical	diet lacking in vitamin B12	If the person has suspected or confirmed vitamin B12 deficiency because their diet is lacking in vitamin B12	B12	present		
168	DA_d2_heldout200b/773	Patent Foramen Ovale	Patent Foramen Ovale	feature_of	asserted	typical	shunt	The shunt is not clinically significant in most individuals	right-to-left shunt	present		
169	DA_d2_heldout200b/773	Eisenmenger Syndrome	Eisenmenger’s syndrome	feature_of	asserted	typical	chest pain	chest pain	post-activity chest pain	present		
170	DA_d2_seq100/119	Porokeratosis	Porokeratosis	feature_of	asserted	possible	pruritus	pruritus	pruritic papules	present		
171	MCR_seq200b/257	Abscess	Traumatic Soft Tissue Injury	feature_of	asserted	frequent	femoral head fracture	will be an associated posterior wall (acetabular) fracture and/or femoral head fracture	fracture	absent		
172	MCR_seq200b/257	Septic Arthritis	Purulent (septic) arthritis syndrome	feature_of	asserted	typical	swollen joint	swollen	right hand swelling	present		
173	MCR_seq200b/326	Brucellosis	Brucellosis	feature_of	asserted	occasional	epidural abscess	Brucellahas been shown to cause ... epidural abscess	posterior epidural abscess	present		
174	MCR_seq200b/326	Epidural abscess	Spinal Epidural Abscess	feature_of	asserted	occasional	motor weakness	motor weakness	weakness	present		
175	MCR_seq200b/475	Neuralgic Amyotrophy	Neuralgic Amyotrophy	feature_of	asserted	typical	sensory impairment	sensory and reflex impairment	sensory deficits	absent		
176	MCR_seq200b/475	Anterior Interosseous Nerve Syndrome	ulnar nerve	feature_of	asserted	typical	sensory innervation	provides sensory innervation to the medial aspect of the forearm, wrist, fourth digit, and the entire fifth digit	sensory deficits	absent		
177	MCR_v1_seq100/49	Appendiceal stump appendicitis	appendicitis	feature_of	asserted	typical	periumbilical abdominal pain	appendicitis presents as an initial generalized or periumbilical abdominal pain	right iliac fossa pain	present		
178	MCR_v1_seq100/49	Cecal diverticulitis	acute diverticulitis	feature_of	asserted	typical	distention on abdominal examination	distention on abdominal examination	right iliac fossa pain	present		
179	MCR_v1_seq100/56	Carcinoma	Oral Squamous Cell Carcinoma	feature_of	negated	typical	DNA repair role of protein p53	Porphyromonas gingivalis inhibits the DNA repair role of protein p53	p53 staining	present		
180	MCR_v1_seq100/56	Leiomyosarcoma	Synovial sarcoma	feature_of	negated	typical	pain	without much pain	pain	present		
181	MCR_v1_seq100/74	Catecholaminergic Polymorphic Ventricular Tachycardia	Catecholaminergic Polymorphic Ventricular Tachycardia	feature_of	negated	typical	ambulatory ventricular ectopy	Ambulatory ventricular ectopy (>2% of total beats)	ventricular fibrillation	present		
182	MCR_v1_seq100/91	Cavernous Angioma	Cavernous angioma	feature_of	asserted	typical	focal neurologic deficits	Cavernomas can present with focal neurologic deficits	neurologic testing	normal		
183	MCR_v2_seq100/179	Pulmonary Atresia with Ventricular Septal Defect	Ventricular Septal Defect	feature_of	asserted	typical	increased pulmonary vascular markings	chest x-ray shows cardiomegaly and increased pulmonary vascular markings	pulmonary atresia	present		
184	DA_d2_heldout200b/522	Catatonia	Catatonia	feature_of	asserted	typical	brain metabolism	when they affect brain metabolism	MRI brain	present		
185	DA_d2_heldout200b/522	Vitamin B12 deficiency	Vitamin B12 deficiency	feature_of	asserted	typical	neurologic manifestations	neurologic manifestations of vitamin B12 deficiency	focal neurologic deficits	absent		
186	DA_d2_heldout200b/773	Patent Foramen Ovale	Patent Foramen Ovale	feature_of	asserted	occasional	right-to-left shunting	right-to-left shunting of deoxygenated blood	right-to-left shunt	present		
187	DA_d2_heldout200b/773	Eisenmenger Syndrome	Eisenmenger's syndrome	feature_of	asserted	typical	reversed shunt direction	shunt direction to reverse	right-to-left shunt	present		
188	DA_d2_seq100/119	Porokeratosis	Porokeratosis	feature_of	asserted	occasional	basal cell carcinoma transformation	less frequently, they transform into basal cell carcinoma	vacuolar degeneration of the basal cell layer	present		
189	MCR_seq200b/257	Abscess	Abscess	feature_of	asserted	typical	tenderness to palpation	erythema, induration, tenderness to palpation, and fluctuance	focal tenderness	present		
190	MCR_seq200b/257	Septic Arthritis	Septic Arthritis	feature_of	asserted	typical	synovial fluid WBC count	Synovial fluid with a white blood cell (WBC) count greater than 50,000	WBC count	present		
191	MCR_seq200b/326	Brucellosis	brucellosis	feature_of	asserted	occasional	low-back or hip pain	long-lasting fever, misery, and low-back or hip pain	back pain	present		
192	MCR_seq200b/326	Epidural abscess	Epidural Abscess	feature_of	asserted	typical	tenderness to palpation of the spine	The most common presenting signs and symptoms are tenderness to palpation of the spine	tenderness on percussion and palpation	present		
193	MCR_seq200b/475	Neuralgic Amyotrophy	Neuralgic Amyotrophy	feature_of	asserted	occasional	weakness of the AIN innervated muscles	some patients also develop weakness of the AIN innervated muscles	weakness of the left upper limb	present		
194	MCR_seq200b/475	Anterior Interosseous Nerve Syndrome	Anterior Interosseous Syndrome	feature_of	asserted	occasional	muscle atrophy	chronic weakness and muscle atrophy may develop	neurogenic atrophy of muscles innervated by the an	present		
195	MCR_v1_seq100/49	Appendiceal stump appendicitis	Uncomplicated appendicitis	feature_of	asserted	typical	intraluminal neutrophils	Intraluminal neutrophils	neutrophils	present		
196	MCR_v1_seq100/49	Cecal diverticulitis	acute diverticulitis	feature_of	asserted	typical	tenderness in the left lower quadrant	tenderness in the left lower quadrant	abdominal palpation pain	present		
197	MCR_v1_seq100/56	Carcinoma	NOS Sclerosing odontogenic carcinoma	feature_of	negated	rare	nuclear pleomorphism	Mitoses and nuclear pleomorphism are rare	nuclear enlargement	present		
198	MCR_v1_seq100/56	Leiomyosarcoma	Synovial Sarcoma	feature_of	asserted	typical	spindle-shaped cells	spindle-shaped cells	atypical spindle cells	present		
199	MCR_v1_seq100/74	Catecholaminergic Polymorphic Ventricular Tachycardia	Long QT-induced polymorphic ventricular tachycardia	feature_of	asserted	typical	QT interval	magnesium decreases the length of the QT interval	QTc interval	present		
200	MCR_v1_seq100/91	Cavernous Angioma	Cavernous Angioma	feature_of	asserted	occasional	hemorrhage	due to hemorrhage	left occipital intraparenchymal hemorrhage	present		
201	MCR_v2_seq100/179	Pulmonary Atresia with Ventricular Septal Defect	Ventricular Septal Defect	feature_of	asserted	obligatory	part of pulmonary atresia with ventricular septal defect	a large ventricular septal defect	pulmonary atresia	present		
202	DA_d2_heldout200b/522	Catatonia	Catatonia	feature_of	asserted	typical	echopraxia	Inability to suppress motor functions (stereotypy, echolalia, echopraxia)	echopraxia	present		
203	DA_d2_heldout200b/522	Vitamin B12 deficiency	Vitamin B12 deficiency	feature_of	asserted	typical	low serum vitamin B12	depression of serum vitamin B12	B12	present		
204	DA_d2_heldout200b/773	Pulmonary Arterial Hypertension	PAH	feature_of	asserted	typical	tricuspid regurgitation	tricuspid regurgitation	tricuspid regurgitation	present		
205	DA_d2_heldout200b/773	Eisenmenger Syndrome	Eisenmenger’s syndrome	feature_of	asserted	obligatory	bidirectional or predominantly right-to-left shunts	bidirectional or predominantly right-to-left shunts	right-to-left shunt	present		
206	DA_d2_seq100/119	Porokeratosis	Porokeratosis	feature_of	asserted	possible	skin atrophy	skin atrophy	asymptomatic brown flat papules	present		
207	MCR_seq200b/257	Abscess	Traumatic Soft Tissue Injury	feature_of	asserted	typical	posterior dislocation	posterior dislocation occurs in the setting of high-energy trauma	dislocation	absent		
208	MCR_seq200b/257	Septic Arthritis	Septic Arthritis	feature_of	asserted	typical	swelling	swelling	right hand swelling	present		
209	MCR_seq200b/326	Brucellosis	Splenic brucellosis	feature_of	asserted	typical	prolonged recurrent fever	prolonged recurrent fever	high fever	present		
210	MCR_seq200b/326	Epidural abscess	Epidural Abscess	feature_of	asserted	typical	fever	The most common presenting signs and symptoms are fever	high fever	present		
211	MCR_seq200b/475	Neuralgic Amyotrophy	Neuralgic Amyotrophy	feature_of	asserted	typical	MRI	MRI generally is more sensitive than ultrasound	MRI of the left upper extremity	normal		
212	MCR_seq200b/475	Anterior Interosseous Nerve Syndrome	Anterior Interosseous Syndrome	feature_of	asserted	occasional	chronic weakness	chronic weakness and muscle atrophy may develop	weakness of the left upper limb	present		
213	MCR_v1_seq100/49	Appendiceal stump appendicitis	appendicitis	feature_of	asserted	typical	sonographic abdominal imaging	sonographic abdominal imaging is reasonable in suspected appendicitis	right iliac fossa pain	present		
214	MCR_v1_seq100/49	Cecal diverticulitis	Acute uncomplicated diverticulitis	feature_of	asserted	typical	left lower quadrant abdominal pain	left lower quadrant abdominal pain	right iliac fossa pain	present		
215	MCR_v1_seq100/56	Carcinoma	Large cell carcinoma (LCC)	feature_of	asserted	typical	cell shape	round to polygonal cells	atypical spindle cells	present		
216	MCR_v1_seq100/56	Leiomyosarcoma	Synovial Sarcoma	feature_of	asserted	typical	tumor giant cells	with occasional tumor giant cells	atypical spindle cells	present		
217	MCR_v1_seq100/74	Catecholaminergic Polymorphic Ventricular Tachycardia	Long QT-induced polymorphic ventricular tachycardia	feature_of	asserted	typical	QT interval length	decreases the length of the QT interval	QTc interval	present		
218	MCR_v1_seq100/91	Cavernous Angioma	Cavernous Angioma	feature_of	asserted	occasional	acute intracerebral hematoma	Cavernous angioma may not be diagnosed when it presents as acute intracerebral hematoma	left occipital intracerebral hematoma	present		
219	MCR_v2_seq100/179	Pulmonary Atresia with Ventricular Septal Defect	Ventricular Septal Defect	feature_of	asserted	typical	defect in interventricular septum	A defect may be appreciated in the membranous or muscular portion of the interventricular septum	ventricular septal defect	present		
220	DA_d2_heldout200b/522	Catatonia	Akinetic catatonia	feature_of	asserted	typical	staring	staring	staring	present		
221	DA_d2_heldout200b/522	Vitamin B12 deficiency	vitamin B12 deficiency	feature_of	asserted	occasional	further tests	some people may need further tests to diagnose the condition	HIV tests	absent		
222	DA_d2_heldout200b/773	Patent Foramen Ovale	Patent Foramen Ovale	feature_of	asserted	typical	size of PFO	The risk is predictably related to the size of the PFO	right atrium size	present		
223	DA_d2_heldout200b/773	Eisenmenger Syndrome	Eisenmenger syndrome	feature_of	asserted	typical	severe pulmonary arterial hypertension	severe pulmonary arterial hypertension	widened pulmonary arteries	present		
224	DA_d2_seq100/119	Porokeratosis	Porokeratosis	feature_of	asserted	typical	keratotic papules	small, callus-like raised lesions (keratotic papules)	pruritic papules	present		
225	MCR_seq200b/257	Abscess	Abscess	feature_of	asserted	typical	pain	pain and swelling	right hand pain	present		
226	MCR_seq200b/257	Septic Arthritis	Septic Arthritis	feature_of	asserted	typical	severe pain in the hip	severe pain in the hip	right hand pain	present		
227	MCR_seq200b/326	Brucellosis	Brucella spondylitis	feature_of	asserted	typical	pain	and the clinical symptoms are pain and movement disorders	back pain	present		
228	MCR_seq200b/326	Epidural abscess	Epidural abscess	feature_of	asserted	typical	elevated C-reactive protein level	elevated C-reactive protein level	C-reactive protein level	present		
229	MCR_seq200b/475	Neuralgic Amyotrophy	Neuralgic Amyotrophy	feature_of	asserted	typical	muscle weakness	onset of muscle weakness	weakness of the left upper limb	present		
230	MCR_seq200b/475	Anterior Interosseous Nerve Syndrome	Anterior Interosseous Nerve Syndrome	feature_of	asserted	rare	thenar atrophy	Thenar atrophy may be seen in advanced CTS	neurogenic atrophy of muscles innervated by the an	present		
231	MCR_v1_seq100/49	Appendiceal stump appendicitis	pediatric appendicitis	feature_of	asserted	typical	tenderness at McBurney’s point	tenderness at McBurney’s point	abdominal palpation pain	present		
232	MCR_v1_seq100/49	Cecal diverticulitis	Diverticulitis	feature_of	asserted	typical	high fever	high fever (greater than 39.2°C)	febrile	present		
233	MCR_v1_seq100/56	Carcinoma	Sarcomatoid Urothelial Carcinoma	feature_of	asserted	typical	pleomorphic giant cells	or pleomorphic giant cells	atypical spindle cells	present		
234	MCR_v1_seq100/56	Leiomyosarcoma	leiomyosarcomas	feature_of	asserted	typical	interlacing fascicles of spindle cells resembling smooth muscle	leiomyosarcomas contain interlacing fascicles of spindle cells resembling smooth muscle	atypical spindle cells	present		
235	MCR_v1_seq100/74	Catecholaminergic Polymorphic Ventricular Tachycardia	Ventricular tachycardia	feature_of	asserted	occasional	structurally normal hearts	may occur in structurally normal hearts	pulse	present		
236	MCR_v1_seq100/91	Cavernous Angioma	Hepatic hemangiomas	feature_of	negated	rare	palpable mass	Rarely are a palpable mass	left tentorial extra-axial enhancing mass	present		
237	MCR_v2_seq100/179	Pulmonary Atresia with Ventricular Septal Defect	Ventricular septal defects (VSDs)	feature_of	asserted	occasional	ventricular dysfunction	ventricular dysfunction	ventricular septal defect	present		
238	DA_d2_heldout200b/522	Catatonia	Akinetic catatonia	feature_of	asserted	typical	decreased speech	Speech, spontaneous movements, and response to voice or noxious stimuli are decreased	limited speech	present		
239	DA_d2_heldout200b/522	Vitamin B12 deficiency	Vitamin B12 deficiency	feature_of	asserted	typical	elevated homocysteine levels	elevated homocysteine levels	homocysteine	present		
240	DA_d2_heldout200b/773	Patent Foramen Ovale	Patent Foramen Ovale	feature_of	asserted	typical	right-to-left shunt	Patent foramen ovale (PFO), atrial, and ventricular septal defects create a right-to-left shunt in the heart	right-to-left shunt	present		
241	DA_d2_heldout200b/773	Eisenmenger Syndrome	Eisenmenger syndrome	feature_of	asserted	typical	pulmonary arterial hypertension	severe pulmonary arterial hypertension (PAH)	widened pulmonary arteries	present		
242	DA_d2_seq100/119	Porokeratosis	porokeratosis	feature_of	asserted	obligatory	cornoid lamella	cornoid lamella, a column of tightly fitted parakeratotic cells in the upper epidermis	cornoid lamellae	present		
243	MCR_seq200b/257	Abscess	anorectal abscess	feature_of	negated	null	diabetes risk	data does not support that there is an increased risk from hygiene, anal-receptive intercourse, diabetes	type 2 diabetes	present		
244	MCR_seq200b/257	Septic Arthritis	Septic Arthritis	feature_of	asserted	typical	fever higher than 38.5 C	fever higher than 38.5 C	fever	absent		
245	MCR_seq200b/326	Brucellosis	Brucellosis	feature_of	asserted	typical	undulating fever pattern	the fever of brucellosis shows an undulating pattern	high fever	present		
246	MCR_seq200b/326	Epidural abscess	Epidural abscess	feature_of	asserted	typical	severe pain	extremely severe pain	back pain	present		
247	MCR_seq200b/475	Neuralgic Amyotrophy	Neuralgic amyotrophy	feature_of	asserted	typical	posterior interosseous nerve involvement	Other extraplexal nerves that tend to be affected are the ... posterior interosseous	neurogenic atrophy of muscles innervated by the an	present		
248	MCR_seq200b/475	Anterior Interosseous Nerve Syndrome	Anterior Interosseous Syndrome	feature_of	asserted	occasional	triceps reflex abolition	Either the biceps or triceps reflex may be abolished	tendon reflexes	normal		
249	MCR_v1_seq100/49	Appendiceal stump appendicitis	Uncomplicated appendicitis	feature_of	asserted	typical	neutrophils within the mucosa and submucosa	neutrophils may also be present within the mucosa and submucosa	neutrophils	present		
250	MCR_v1_seq100/49	Cecal diverticulitis	complicated acute diverticulitis	feature_of	asserted	typical	contrast CT scan	offer a contrast CT scan	abdominal CT scan	present		
251	MCR_v1_seq100/56	Carcinoma	Sarcomatoid carcinoma	feature_of	asserted	obligatory	uniform positivity for p63	uniform positivity for p63 or CK5/6	p63 staining	present		
252	MCR_v1_seq100/56	Leiomyosarcoma	Synovial Sarcoma	feature_of	asserted	typical	spindle-shaped and amorphous tumor cells	tumor cells are spindle-shaped and amorphous	atypical spindle cells	present		
253	MCR_v1_seq100/74	Catecholaminergic Polymorphic Ventricular Tachycardia	Polymorphic ventricular tachycardia	feature_of	asserted	typical	spontaneous termination	spontaneously terminates	return of spontaneous circulation	present		
254	MCR_v1_seq100/91	Cavernous Angioma	Hepatic hemangiomas	feature_of	asserted	typical	age range	between the ages of 30 and 50	age	present		
255	MCR_v2_seq100/179	Pulmonary Atresia with Ventricular Septal Defect	Atrial septal defect (ASD)	feature_of	asserted	typical	increased pulmonary blood flow	increased pulmonary blood flow	pulmonary atresia	present		
256	DA_d2_heldout200b/522	Catatonia	Catatonia	feature_of	asserted	occasional	loss of recollection	Some expressed a complete loss of recollection,	weight loss	present		
257	DA_d2_heldout200b/522	Vitamin B12 deficiency	Vitamin B12 deficiency	feature_of	asserted	typical	low serum vitamin B12 concentration	serum concentrations of this micronutrient	B12	present		
258	DA_d2_heldout200b/773	Idiopathic Pulmonary Arterial Hypertension	Pulmonary hypertension due to lung diseases, hypoxia, or bot	feature_of	asserted	obligatory	pulmonary hypertension	Pulmonary hypertension due to lung diseases, hypoxia, or both	widened pulmonary arteries	present		
259	DA_d2_heldout200b/773	Eisenmenger Syndrome	Eisenmenger syndrome	feature_of	asserted	typical	increased pulmonary pressures	increased pulmonary pressures	widened pulmonary arteries	present		
