idx	case	relation	subject	predicate	quote	context	licensed
74	74	required_for	Cardiomyopathy	echocardiogram	Echocardiogram, cardiac MRI, cardiac CT, and nuclear medicine imaging are the primary imaging modalities used	Echocardiogram, cardiac MRI, cardiac CT, and nuclear medicine imaging are the primary imaging modalities used	
75	DA_d2_seq100/100	required_for	Angiosarcoma	negative margins	negative margins	Surgical treatment with wide margins is indicated. Even when margins are found to be negative by histologic studies, the recurrence rate and risk of metastatic disease remain increased. For this reason, a multispecialty approached is often warranted. The differential diagnosis of cutaneous angiosarcoma includes both benign and malignant lesions such as hemangioma, hemangioblastoma, squamous cell c	
76	MCR_seq200b/291	required_for	erosive lichen planus	biopsy	The biopsy of the lesion is usually performed when the diagnosis is in question	Diagnosis of erosive lichen planus is most often made based on a typical history and clinical appearance. The biopsy of the lesion is usually performed when the diagnosis is in question or to rule out malignancy. As mentioned above, ulceration of the lesion may result in the absence of the characteristic lichenoid features on histology.[8] Regardless of the location of the patient’s symptoms, full	
77	DA_d2_seq100/100	required_for	Cutaneous horns	histopathological analysis	histopathological analysis is crucial to determine the underlying etiology	Ablative lasers like carbon dioxide or neodymium-doped yttrium aluminum garnet may be preferred for aesthetic considerations and electrocautery.[4][22] Cryotherapy is not a recommended treatment. Despite these alternatives, deep biopsy or total excision remain the treatments of choice, ensuring that the base of the horn is preserved for histological preparations.[4] Patients with cutaneous horns c	
78	MCR_v1_seq100/114	required_for	Chest wall tumors	biopsy	Biopsy and histologic evaluation confirm the diagnosis	Five-year survival for typical (well-differentiated) carcinoids is > 90%; for atypical tumors, it is 50 to 70%. Chest Wall Tumors Chest wall tumors are benign or malignant tumors that can interfere with pulmonary function. Primary chest wall tumors account for 5% of all thoracic tumors and 1 to 2% of all primary tumors. Almost half are benign; the most common are osteochondroma, chondroma, and fib	
79	MCR_seq200b/291	pathognomonic_for	Necrolytic acral erythema	necrosis of keratinocytes	The characteristic necrosis of keratinocytes and vacuolar degeneration of some basal cells	in necrolytic acral erythema, including its impact on enzymatic processes and skin integrity, underscores the importance of addressing zinc levels in affected patients.[9] In addition, malabsorption of essential nutrients, including amino acids and vitamins, can contribute to skin manifestations. The resultant hypoaminoacidemia may impair protein synthesis and skin barrier function, exacerbating t	
80	MCR_v2_seq100/133	pathognomonic_for	SFT	STAT6 nuclear expression	diffuse and strong nuclear IHC expression for STAT6 was observed in 100% cases	ular fasciitis. Prostatic stromal tumors of uncertain malignant potential (STUMP) and prostatic stromal sarcoma (PSS) can pose diagnostic problems for pathologists. STUMP exhibits haphazard fascicles of spindle cells which do not exhibit significant nuclear atypia or mitoses. However, PSS exhibits solid growth of spindle to epithelioid cells with nuclear atypia, increased mitoses and necrosis. How	
81	MCR_seq200b/291	required_for	Lichen simplex chronicus	complete medical history	Diagnosis of lichen simplex chronicus includes a complete medical history	Diagnosis of lichen simplex chronicus includes a complete medical history	
82	MCR_v1_seq100/114	sufficient_for	Soft tissue tumor	US diagnosis	US characteristics	Ultrasonography is an excellent imaging technique for assessing any superficial soft-tissue mass. A part from previously discussed advantages (availability, cost and lack of ionizing radiations), US outstands particularly in the characterization of soft-tissue masses because of its reasonably robust diagnostic capabilities. Two prospective studies by Hung and Griffith et al. established that aroun	
83	DA_d2_heldout200b/529	required_for	Mycobacterium avium complex infections	CD4 counts less than 50	when the CD4 counts are less than 50	The complications that can manifest with Mycobacterium avium complex infections are as follows: Mycobacterium avium complex and HIV Mycobacterium avium complex infections occur when the CD4 counts are less than 50. Mycobacterium avium complex infections frequently present as disseminated infections. Disseminated Mycobacterium avium complex infections are uncommon outside of HIV patients. Most infe	
84	DA_d2_heldout200b/529	required_for	chronic non-CF bronchiectasis	sustained duration of treatment	the treatment needs to be of sustained duration	Maintenance therapy with intermittent antibiotics is not used routinely in patients with non-CF bronchiectasis, and the decision to use long-term antibiotics should be individualized. Inhaled aminoglycosides can be of benefit in chronic non-CF bronchiectasis; however, the treatment needs to be of sustained duration. 4. Control reverse airflow obstruction: In patients with airflow obstruction, inha	
85	DA_d2_seq100/100	pathognomonic_for	Hydrocele	fluid surrounding the testis	The ultrasound scan revealed fluid surrounding the testis, which is diagnostic of a hydrocele	Further examination of the scrotal mass was required. A transillumination test of the scrotum on the affected side was positive. An ultrasound scan revealed normal right and left testes and a large fluid collection around the right testis. A diagnosis of a right-sided hydrocele was made. Scrotal masses are common in young males, and determining the exact anatomical site of the scrotal mass is of u	
86	MCR_v2_seq100/133	required_for	prostate cancer	tissue samples	obtaining confirmatory tissue samples in patients suspected of prostate cancer	If the sonographer has difficulty obtaining adequate images, an immediate discussion with the interprofessional care team and the radiologist is required to consider alternative diagnostic modalities. Nurses should also be included in any discussion of the procedure and the examination's findings. This type of interprofessional healthcare team communication can help ensure more accurate diagnosis	
87	MCR_v1_seq100/114	pathognomonic_for	Dermoid cyst	Hair protruding from punctum	Hair protruding from a dermoid cyst punctum is pathognomonic for dermoid cysts.	Hair protruding from a dermoid cyst punctum is pathognomonic for dermoid cysts.	
88	DA_d2_heldout200b/529	pathognomonic_for	Giardia Lamblia enteritis	microscopic identification of Giardia in stool	Giardia Lamblia enteritis is diagnosed definitively through microscopic identification of the pathogen in a stool sample	Due to the possible extraintestinal manifestations of Giardia enteritis, in addition to a thorough abdominal exam, fundoscopic, musculoskeletal, and skin exams should be conducted to rule out any retinal, arthritic, myopathic, or allergic components. A confirmed case of giardiasis is defined by the CDC as "the detection of Giardia organisms, antigen, or DNA in stool, intestinal fluid, tissue sampl	
89	MCR_seq200b/291	sufficient_for	Zinc Deficiency	response to zinc supplementation	response to a trial of supplementation	zinc deficiency occurs in patients receiving total parenteral nutrition without zinc supplementation and in premature infants fed human milk without fortification. Clinical manifestations of mild zinc deficiency include anorexia, growth faltering, and immune impairment. Moderately severe manifestations include delayed sexual maturation, rough skin, and hepatosplenomegaly. The signs of severe defic	
90	MCR_v1_seq100/114	required_for	Abscess	imaging	Diagnosis of deep abscesses often requires imaging	Diagnosis of deep abscesses often requires imaging	
91	DA_d2_heldout200b/529	sufficient_for	Cryptococcus-related CNS IRIS	steroid use	Cryptococcus-related CNS IRIS	nts: [37] The management of immune reconstitution inflammatory syndrome should focus on symptom control. It is equally important that the treatment includes initiating anti-microbial agents for the underlying opportunistic infection associated with the IRIS. It is also highly recommended to continue HAART unless there is evidence of severe HAART-related toxicity or IRIS with central nervous system	
92	DA_d2_heldout200b/529	required_for	Mycobacterium avium complex (MAC) pulmonary infection	CD4 count	CD4 count is less than 50 cells per microliter	o endemic area has been recognized. Recently, a trend towards increasing Mycobacterium avium complex infections has been identified. A seasonal trend in mycobacterial infections around the incidence cycle of 12 months, with peaks in late winter/spring and troughs in autumn, was noted. Women had a higher prevalence, up to 1.6 fold relative to men. A study done in Australia has shown a higher male p	
93	DA_d2_heldout100/261	required_for	ETEC infection	inoculum size	a large inoculum (106–1010 CFU) is needed to produce disease	a large inoculum (106–1010 CFU) is needed to produce disease	
94	74	required_for	Catecholaminergic Polymorphic VT (CPVT)	exercise stress test	exercise stress test	exercise stress test	
95	MCR_seq200b/291	sufficient_for	Hyperparathyroidism	high or inappropriately normal parathyroid hormone levels	the presence of concurrent high or inappropriately normal parathyroid hormone levels confirms the diagnosis	tic. A catecholamine-induced hypertensive crisis in a previously unrecognized pheochromocytoma can be associated with significant morbidity and mortality.[20] The demonstration of elevated plasma fractionated metanephrines has a sensitivity of 97% and a specificity of 93% for diagnosing pheochromocytoma.[16] High levels of urinary fractionated metanephrines and catecholamines can also be used to e	
96	MCR_v1_seq100/114	sufficient_for	Leiomyosarcoma	Cytologic pleomorphism or atypia	Cytologic pleomorphism or atypia	Benign Malignant Low mitotic index (<5 mitotic figures for 10 High Power Field)No cell atypiaNo tumor cell necrosis (with the exception of ischemic necrosis)Typical presentation of the smooth muscle cells, with uniform shape and sizeNo intravascular componentWell-demarcated Numerous mitotic figures (≥5 for 10 High-Power Field)Significant cell atypiaAreas of tumor cell necrosis with island-like pre	
97	74	pathognomonic_for	arrhythmogenic right ventricular cardiomyopathy	ε sign	ε sign indicative of arrhythmogenic right ventricular cardiomyopathy	ε sign indicative of arrhythmogenic right ventricular cardiomyopathy	
98	DA_d2_heldout100/261	required_for	FDBL	VLDL-C to total plasma TG ratio >0.30	ratio of directly measured VLDL-C to total plasma TG >0.30	ations are very rare. Patients with FDBL usually present in adulthood with hyperlipidemia, xanthomas, or premature coronary or peripheral vascular disease. In FDBL, in contrast to other disorders of elevated TGs, the plasma levels of cholesterol and TG are often elevated to a similar degree, and the level of HDL-C is usually normal or reduced. Two distinctive types of xanthomas, tuberoeruptive and	
99	DA_d2_heldout100/261	pathognomonic_for	Sarcoidosis	noncaseating granulomas	characterized histologically by the presence of noncaseating granulomas	Sarcoidosis is a chronic systemic disorder of unknown origin characterized histologically by the presence of noncaseating granulomas in affected organs. Although the disease pathogenesis remains poorly understood, sarcoidosis is believed to result from a complex interaction between host/genetic and environmental/infectious factors leading to an aberrant immune response. The lungs and intrathoracic	
100	74	required_for	Metabolic syndrome	3 or more metabolic abnormalities	3 or more metabolic abnormalities	3 or more metabolic abnormalities	
101	DA_d2_heldout200b/529	sufficient_for	giardiasis	duodenal aspiration	Even giardiasis is more easily diagnosed by stool antigen studies and/or duodenal aspiration	Several microorganisms can be identified in small-intestinal biopsy samples, establishing a correct diagnosis. At times, the biopsy is performed specifically to diagnose infection (e.g., Whipple’s disease or giardiasis). In most other instances, the infection is detected incidentally during the workup for diarrhea or other abdominal symptoms. Many of these infections occur in immunocompromised pat	
102	MCR_v1_seq100/114	required_for	Abscess	serial TEE	serial TEE	According to the recent Endocarditis European Society of Cardiology (ESC) Guidelines and data from the European Endocarditis (EURO-ENDO) registry, 11.5% of patients presented with conduction disturbances at diagnosis, primarily 1st-, 2nd-, and 3rd-degree atrioventricular block (AVB). The development of a new AVB due to an abscess indicates urgent cardiac surgery.[15] These recommended that patient	
103	DA_d2_heldout200b/529	pathognomonic_for	Giardiasis	Giardia DNA in stool	detection of Giardia organisms, antigen, or DNA in stool	Due to the possible extraintestinal manifestations of Giardia enteritis, in addition to a thorough abdominal exam, fundoscopic, musculoskeletal, and skin exams should be conducted to rule out any retinal, arthritic, myopathic, or allergic components. A confirmed case of giardiasis is defined by the CDC as "the detection of Giardia organisms, antigen, or DNA in stool, intestinal fluid, tissue sampl	
104	DA_d2_heldout200b/529	pathognomonic_for	tuberculosis	granulomas	granulomas, usually with caseous necrosis	granulomas, usually with caseous necrosis	
105	DA_d2_heldout100/261	required_for	Ocular Sarcoidosis	three criteria	three criteria must be met	Blau syndrome: It is an autosomal dominant disorder seen in children below the age of 4 years. Clinical features include arthritis, rash, and uveitis.[62] Other names of the disease (OMIM #186580) include familial juvenile systemic granulomatosis, early-onset sarcoidosis, Jabs syndrome, granulomatous inflammatory arthritis, dermatitis, and uveitis. There is a mutation in the NOD2 (or CARD15) gene	
106	DA_d2_heldout200b/529	required_for	Pneumocystis jirovecii pneumonia	CT scan	CT scan	Targeted diagnostics, such as viral PCR testing or biopsies when appropriate, should be obtained early and liberally Bilateral pneumonia and increased LDH should prompt a CT scan, BDG and GM test. BAL for culture, viral PCR and Pneumocystis jirovecii should be considered in case of respiratory distress Severe diarrhea and weight loss is suspicious of CMV enteritis/colitis or microsporidiosis: obta	
107	MCR_v1_seq100/114	required_for	Pilar cysts	MRI	MRI can be used for more deeper soft tissue involvement	le so that they are most commonly seen on the head especially the scalp, but they can also be found on the face, head, and neck. Trichilemmal cysts are usually asymptomatic unless they calcify or rupture their contents leading to inflammatory process and pain in the affected site. Sometimes, the presence of pilar cyst overpressure or bony prominence might lead to pain. Trichilemmal cysts usually p	
108	MCR_v1_seq100/114	sufficient_for	Soft-tissue tumor	diagnosis by US	around three-quarters of soft tissue tumors could be confidently diagnosed by its US characteristics	Ultrasonography is an excellent imaging technique for assessing any superficial soft-tissue mass. A part from previously discussed advantages (availability, cost and lack of ionizing radiations), US outstands particularly in the characterization of soft-tissue masses because of its reasonably robust diagnostic capabilities. Two prospective studies by Hung and Griffith et al. established that aroun	
109	MCR_seq200b/291	pathognomonic_for	Necrolytic acral erythema	vacuolar degeneration of basal cells	The characteristic necrosis of keratinocytes and vacuolar degeneration of some basal cells	in necrolytic acral erythema, including its impact on enzymatic processes and skin integrity, underscores the importance of addressing zinc levels in affected patients.[9] In addition, malabsorption of essential nutrients, including amino acids and vitamins, can contribute to skin manifestations. The resultant hypoaminoacidemia may impair protein synthesis and skin barrier function, exacerbating t	
110	DA_d2_heldout200b/529	required_for	Herpes simplex virus infection	CD4+ count	improvement of CD4+ count to > 200 cells/μL	improvement of CD4+ count to > 200 cells/μL	
111	DA_d2_heldout100/261	required_for	Bacterial meningitis	prompt diagnosis	prompt diagnosis	Regular interprofessional team meetings facilitate collaboration by allowing discussion of patient progress, adjustments to the treatment plan, and addressing any challenges faced by the healthcare team.[2][4][5][12] Coordination between hospital and community-based care ensures a seamless patient transition, reducing the risk of missed follow-up appointments and lapses in medication adherence. Ba	
112	DA_d2_heldout100/261	pathognomonic_for	Löfgren syndrome	bilateral hilar lymphadenopathy	bilateral hilar adenopathy	The combination of fever, arthralgia, and erythema nodosum, although suggestive, is not specific for sarcoidosis. Reactions may be idiopathic or caused by several other triggers, including: Approximately 10% to 22% of cases of erythema nodosum are attributable to sarcoidosis. A thorough medical history can help distinguish among the above causes of erythema nodosum. Tuberculosis should be ruled ou	
113	DA_d2_heldout100/261	sufficient_for	E. coli	PCR detection	Phenotypic identification and PCR detection are commonly used for diagnosing E. coli	Streptococcus equi subsp. zooepidemicus (S. zooepidemicus) causes abortion and respiratory disease in horses and donkeys. It can infect a wide range of animals, including humans, monkeys, sheep, dogs, cattle, and swine, and is associated with various diseases in different species. S. zooepidemicus-induced equine ascending placentitis is a common cause of abortion in mares. Recently, Stout et al. f	
114	74	sufficient_for	Channelopathy	cardiologic evaluation	the provider may cautiously suggest a cardiologic evaluation	the provider may cautiously suggest a cardiologic evaluation	
115	74	sufficient_for	Hypertrophic Cardiomyopathy	echocardiography	Echocardiography is the first-level imaging exam for HCM diagnosis	Echocardiography is the first-level imaging exam for HCM diagnosis	
116	74	required_for	Cardiomyopathy	chest radiograph	A chest radiograph is usually the initial imaging study to order	A chest radiograph is usually the initial imaging study to order	
117	MCR_seq200b/291	pathognomonic_for	Zinc deficiency	response to zinc supplementation	a positive response to supplementation is considered evidence of a preexisting deficiency	zinc deficiency occurs in patients receiving total parenteral nutrition without zinc supplementation and in premature infants fed human milk without fortification. Clinical manifestations of mild zinc deficiency include anorexia, growth faltering, and immune impairment. Moderately severe manifestations include delayed sexual maturation, rough skin, and hepatosplenomegaly. The signs of severe defic	
118	MCR_v2_seq100/133	sufficient_for	acute prostatitis	evaluation for prostatic abscess	after 48 hours	The diagnosis of a prostatic abscess based solely on history and physical findings is difficult because the symptoms are non-specific and overlap with other lower urinary tract pathology. A high level of clinical suspicion, particularly in non-responding acute prostatitis patients, is necessary for early diagnosis and timely management. Patients with acute prostatitis who do not respond to treatme	
119	74	required_for	HOCM	outflow gradient of 50 mmHg or more	an outflow gradient of 50 mmHg or more	an outflow gradient of 50 mmHg or more	
120	MCR_v2_seq100/133	sufficient_for	BPH	prostate extension above pubic symphysis	prostate extends above the pubic symphysis	The CT scan does not sufficiently define detailed prostate anatomy or pathology. It may show a hyperdense central zone with density adjusted to around 40 to 60 Hounsfield Units (HU), and the peripheral zone may appear hypodense, with density between 10 and 25 HU.[8] Focal peripheral zone lesions with >25 HU on CT might be suspicious for prostatic malignancy.[9] Benign Prostatic Hyperplasia CT scan	
121	MCR_v2_seq100/133	required_for	Sarcoma	morphologic assessment	Sarcoma is generally diagnosed by morphologic assessment	sion. For sarcomas with initial diagnosis confirmed with excisional biopsy, microscopic residual disease has been reported in up to 69% of reexcision specimens50,51; without reexcision, the reported rate of local recurrence is 30% to 40% when margins are positive or uncertain.Wide en bloc excision is seldom performed as a diagnostic procedure. When en bloc excision is done for diagnosis, the mar-g	
122	DA_d2_seq100/100	required_for	cancer metastatic to the lung	molecular testing	molecular testing	For patients suspected of having primary non-small lung cancer that has metastasized, clinicians should obtain histologic confirmation from suspected metastatic sites, not the suspected primary lesion. However, if biopsy of a metastatic site is technically difficult or hazardous, biopsying the primary lung lesion or mediastinal lymph nodes should be performed using the least invasive method. Metas	
123	74	required_for	Cardiac channelopathies	recurrent deaths in the family	or when there are recurrent deaths in the family	or when there are recurrent deaths in the family	
124	DA_d2_heldout100/261	pathognomonic_for	Intertrigo	satellite papules	satellite papules	satellite papules	
125	MCR_v2_seq100/133	required_for	Lung Cancer	age between 50 and 80	patients between ages 50 and 80	Lung cancer screening with an annual low-dose computed tomography of the chest is recommended for patients between ages 50 and 80 with at least a 20-pack-year smoking history who are currently actively smoking or have quit in the previous 15 years. There are no consensus guidelines specifying modifications based on Agent Orange exposure. In exposed patients with other significant risk factors for	
126	MCR_seq200b/291	required_for	lichen planus	biopsy with microscopic analysis	biopsy with microscopic analysis is the most effective tool	Evaluating lichen planus involves a comprehensive clinical assessment to accurately diagnose the condition and distinguish it from similar dermatological disorders. While in the clinic, dermoscopy allows visualization of Wickham striae in most cases. The classic finding is a network of white lines with red globules along the periphery.[30] Oral lichen planus lesions located near dental restoration	
127	MCR_v2_seq100/133	sufficient_for	Prostate Cancer	PCA3	superiority of PCA3 over PSA alone for diagnosing prostate cancer	Studies have reported a 14% positive biopsy rate when PCA3 levels are less than 5, compared to 70% when PCA3 is greater than 100.[99] PCA3 has been shown to exhibit varying sensitivity, specificity, and predictive values across alternative cutoffs. The FDA used a threshold of 25 for its approval. Studies involving large patient cohorts have demonstrated the superiority of PCA3 over PSA alone for d	
128	MCR_v2_seq100/133	required_for	Sarcoma	physical examination	Physical examination	Follow-up visits are essential to detect local recurrences or metastasis. Physical examination of stage I tumors should be performed at 3- to 6-month intervals for the first 2 years and then annually.[20] Imaging studies are not generally indicated unless prompted by clinical signs and symptoms. Stage II to IV disease must be followed every 2 to 6 months for 2 to 3 years, then every 6 months for 2	
129	DA_d2_heldout100/261	pathognomonic_for	FDBL	tuberoeruptive xanthomas	tuberoeruptive xanthomas	tuberoeruptive xanthomas	
130	MCR_seq200b/291	required_for	Lichen simplex chronicus	elimination of many disorders	elimination of many disorders	Lichen simplex chronicus usually improves with treatment, but some cases may become persistent, especially when on the genitals. In recent studies, patients with lichen simplex chronicus exhibited the following personality traits: poor social skills, a lack of flexibility, a greater tendency to pain-avoidance, greater dependency on other peoples' desires, and a more dutiful nature as compared to c	
131	DA_d2_heldout100/261	required_for	Bacterial infection	laboratory confirmation of pathogen presence	laboratory confirmation of pathogen presence in recipients	Physical injuries may arise from intravenous cannulation-related trauma. Potential complications may include hematoma or nerve injury. Sepsis and Bacterial Infection Bacterial infection or sepsis in patients receiving platelet transfusion may be categorized as possible or definitive. Possible cases include individuals with unexplained clinical illness temporally linked to transfusion, with no dete	
132	DA_d2_heldout200b/529	pathognomonic_for	Hodgkin Lymphoma (HL)	Hodgkin Reed-Sternberg (HRS) cells	presence of pathological Hodgkin Reed-Sternberg (HRS) cells	A diagnosis of lymphoma is confirmed by tissue biopsy, and commonly used methods include fine-needle aspiration, core biopsy, incision/wedge biopsy, and excisional biopsy. Excisional biopsy is considered the "gold standard" as it allows for the assessment of whole lymph node architecture. The different pathologic characteristics and histologic patterns of common lymphomas are as below. Hodgkin Lym	
133	MCR_v1_seq100/114	required_for	SFT	biopsy	biopsy is typically recommended	Ultrasound may be used in select cases depending on tumor location. Although not a primary imaging modality for pleural SFTs, it can aid in evaluating extrapleural or superficial lesions. In a reported case of a breast SFT in a 73-year-old man with a 12-month history of a palpable mass and bilateral gynecomastia, ultrasound demonstrated an oval, well-circumscribed, hypoechoic lesion with internal	
134	MCR_v1_seq100/114	sufficient_for	Lipoma	US diagnosis	US is a useful tool in the diagnosis of superficial lipomas with good sensitivity and even better specificity	Sonographically, tophi appear as a heterogeneous mass (80%), composed of hypoechoic and hyperechoic areas, and have poorly defined contours. They can form multiple groups with surrounding anechoic haloes. Lipoma is considered the most common soft tissue tumor and is seen in ~2% of the population. They are usually subcutaneous and in US, appear as soft variably echogenic masses. If capsulated, it m	
135	DA_d2_seq100/100	required_for	primary non-small lung cancer	biopsy of a metastatic site	biopsy of a metastatic site	For patients suspected of having primary non-small lung cancer that has metastasized, clinicians should obtain histologic confirmation from suspected metastatic sites, not the suspected primary lesion. However, if biopsy of a metastatic site is technically difficult or hazardous, biopsying the primary lung lesion or mediastinal lymph nodes should be performed using the least invasive method. Metas	
136	MCR_v2_seq100/133	pathognomonic_for	solitary fibrous tumor	ALDH1 and STAT6 positivity	Combined specificity of STAT6 and ALDH1 is 100% for SFTs of this region	Soft tissue tumors with epithelioid morphology such as epithelioid sarcoma and epithelioid angiosarcoma sometimes need to be considered in the DD. SFT with giant cells is a rare occurrence and the DD of this morphological form include soft tissue sarcomas with giant cell component and nodular fasciitis. Prostatic stromal tumors of uncertain malignant potential (STUMP) and prostatic stromal sarcoma	
137	DA_d2_heldout200b/529	required_for	Mycobacterium avium complex (MAC) infection	CD4 count	disseminated MAC infection occurs when the CD4 count is less than 50 cells per microliter	om 1.4 to 6.6 per 100,000 population, but no endemic area has been recognized. Recently, a trend towards increasing Mycobacterium avium complex infections has been identified. A seasonal trend in mycobacterial infections around the incidence cycle of 12 months, with peaks in late winter/spring and troughs in autumn, was noted. Women had a higher prevalence, up to 1.6 fold relative to men. A study	
138	DA_d2_heldout100/261	required_for	Atopic Dermatitis (AD)	age two years or older	ages two years or older	Decompensated Cardiac Failure [25] Atopic Dermatitis (AD) Crisaborole can be used in patients ages two years or older for topical use only. It should be applied to the affected areas two times daily.	
139	DA_d2_heldout200b/529	required_for	Mycobacterium avium complex (MAC) pulmonary infection	genetic testing	require genetic testing	The clinician must communicate with the clinical laboratory technicians and pathologists to ensure appropriate culture mediums and the correct duration of observation are set. The specialized wound care nurse is vital in assisting the medical team with treating the disease. The nurse helps educate the patient on proper wound care to ensure wound healing and decrease the risk of superimposed infect	
140	74	required_for	Catecholaminergic Polymorphic VT (CPVT)	Holter monitor	Holter monitor	Holter monitor	
141	MCR_seq200b/291	sufficient_for	Pheochromocytoma	elevated urinary fractionated metanephrines and catecholamines	High levels of urinary fractionated metanephrines and catecholamines can also be used to establish the diagnosis	Pheochromocytomas in patients with MEN2 generally occur in the third or fourth decade of life. Patients with MEN2 who are planning to undergo an interventional procedure, including thyroidectomy for MTC, or who may become pregnant, should undergo testing to exclude a pheochromocytoma, even if asymptomatic. A catecholamine-induced hypertensive crisis in a previously unrecognized pheochromocytoma ca	
142	DA_d2_seq100/100	required_for	Kaposi sarcoma	C‐reactive protein	C‐reactive protein	Secondary, additional blood tests or imaging studies may be required, depending on the clinical findings (Figure 3). (A) Pulmonary lesion of Kaposi sarcoma identified by chest CT scan, and (B) digestive localizations of Kaposi sarcoma evaluated by colonoscopy in immunodeficient patients with invasive Kaposi sarcoma. In all cases: screening for iron deficiency: blood count, ferritin, and C‐reactive	
143	DA_d2_heldout100/261	sufficient_for	R. equi	ELISA detection	Moreover, ELISA can also be used to diagnose R. equi infection	CR detection. Transmission of S. zooepidemicus occurs through animal contact or contamination of food or utensils. PCR and ELISA detection are commonly used to diagnose S. zooepidemicus infection. Escherichia coli (E. coli) is considered a normal part of the gastrointestinal tract in horses. However, many strains of E. coli can cause diseases in the gastrointestinal tract, as well as other infecti	
144	DA_d2_heldout100/261	required_for	nummular eczema	validated diagnostic criteria	validated diagnostic criteria	If signs of a secondary bacterial infection or a bacterial swab of lesional skin are positive, treatment with topical or oral antistaphylococcal antibiotics is recommended, depending on whether lesions are localized or diffuse. Sensitivities and local antibiotic resistance patterns may impact the choice of antibiotic. Sedating antihistamines such as hydroxyzine or diphenhydramine may be used to pr	
145	DA_d2_heldout200b/529	sufficient_for	infections in the immunocompromised host	small-bowel biopsy	At times, the biopsy is performed specifically to diagnose infection (e.g., Whipple’s disease or giardiasis)	Several microorganisms can be identified in small-intestinal biopsy samples, establishing a correct diagnosis. At times, the biopsy is performed specifically to diagnose infection (e.g., Whipple’s disease or giardiasis). In most other instances, the infection is detected incidentally during the workup for diarrhea or other abdominal symptoms. Many of these infections occur in immunocompromised pat	
146	DA_d2_heldout100/261	pathognomonic_for	Dermatitis Herpetiformis	IgA autoantibodies against transglutaminase-3	IgA autoantibodies against transglutaminase-3	Increased intestinal permeability further amplifies antigen exposure and promotes inflammation. Although HLA-DQ2 or HLA-DQ8 is necessary for the development of celiac disease, it is insufficient, as many individuals carrying these alleles remain asymptomatic. Environmental factors, such as gastrointestinal infections, antibiotic-induced disruption of the gut microbiome, and immune modulation durin	
147	MCR_seq200b/291	required_for	Zinc deficiency	associated symptoms	Accurate identification relies on... associated symptoms	Accurate identification relies on... associated symptoms	
148	DA_d2_heldout100/261	pathognomonic_for	Malakoplakia	Michaelis-Gutmann bodies	The pathognomonic Michaelis-Gutmann bodies (MG) (calcified intracytoplasmic inclusions)	t frequently associated organism, although a variety of other bacterial pathogens have also been reported. Management strategies range from antimicrobial therapy to surgical resection, depending on the extent of disease and clinical context.[1] The precise pathogenesis of malakoplakia remains incompletely characterized, representing a significant gap in our understanding of this distinctive chroni	
149	DA_d2_heldout200b/529	sufficient_for	Pneumocystis jirovecii pneumonia	Grocott–Gomori methenamine silver stain	Grocott–Gomori methenamine silver stain	s of Pneumocystis jirovecii pneumonia (PJP) involves microscopic examination of respiratory samples using dedicated staining methods. For IPA, the identifications of Aspergillus spp. in a BALF culture defines a mycological criterion for the diagnosis of probable invasive aspergillosis, while a proven diagnosis can only be achieved through histology or positive culture from a sterile site, e.g., th	
150	DA_d2_heldout100/261	pathognomonic_for	Palmar crease xanthomas	familial dysbetalipoproteinemia type III	palmar crease xanthomas can be pathognomonic for familial dysbetalipoproteinemia type III	Planar xanthomas can be on the palmar creases and flexure surfaces of fingers, and skin folds and are typically seen with biliary cirrhosis. They can occur in a variety of anatomic regions and can be pathognomonic for different systemic conditions based on their presentation. For example, palmar crease xanthomas can be pathognomonic for familial dysbetalipoproteinemia type III.[3] Xanthoma planum	
151	DA_d2_seq100/100	required_for	Cutaneous metastasis of breast carcinoma	biopsy-confirmed diagnosis	biopsy-confirmed diagnosis of metastatic cutaneous breast cancer	e control maintained in 32 patients, 21 of whom were disease-free at the end of the follow-up. Unlike primary skin tumors, there are no standardized guidelines for the width of resection margins in cutaneous metastases. Therefore, surgical resection is generally considered only suitable for cutaneous metastases localized in small areas that can be easily closed or reconstructed using techniques su	
152	74	required_for	IHD	echocardiography	echocardiography	echocardiography	
153	74	required_for	Brugada syndrome	diagnostic Brugada ECG changes during a drug challenge test	diagnostic Brugada ECG changes during a drug challenge test	diagnostic Brugada ECG changes during a drug challenge test	
154	DA_d2_heldout200b/529	required_for	Pneumocystis jirovecii pneumonia (PCP)	detectable viral load	patients have a detectable viral load	Due to their poor immune response, patients with HIV and those with immunosuppression for other causes, such as malignancy, autoimmune disease, or iatrogenic due to underlying condition or organ transplant patients, require prophylaxis for numerous pathogens. These pathogens include: Combined antiretroviral therapy (cART) remains the gold standard for the treatment of HIV and opportunistic infecti	
155	MCR_v2_seq100/133	pathognomonic_for	clear cell sarcoma	EWSR1::ATF1/CREB1 rearrangement	EWSR1::ATF1/CREB1 rearrangement favoring clear cell sarcoma	Frequently, we encounter situations where sarcomas exhibit significant similarities not only among different histological types of sarcomas but also with other neoplasms like melanomas, carcinomas, or mesotheliomas. Therefore, accurate diagnosis and potential therapeutic implications are crucial. For instance, distinguishing between an epithelioid melanoma and a clear cell sarcoma (both expressing	
