idx	case	relation	subject	predicate	quote	context	licensed
175	91	pathognomonic_for	Cavernous Venous Malformation (CVM)	phleboliths	phleboliths, which are pathognomonic of venous malformations	phleboliths, which are pathognomonic of venous malformations	
176	91	required_for	brainstem cavernomas	second symptomatic bleed	operating after a second symptomatic bleed	While surgery is not typically recommended for brainstem cavernomas due to a significant risk of complications, many recommend operating after a second symptomatic bleed due to the concept that those cavernomas may have a more aggressive natural course.	
177	91	sufficient_for	Primary CNS lymphoma (PCNSL)	thallium-201 SPECT scan	thallium-201 SPECT scan in conjunction with cerebrospinal fluid PCR for EBV	thallium-201 SPECT scan in conjunction with cerebrospinal fluid PCR for EBV	
178	119	pathognomonic_for	Dermatitis Herpetiformis	IgA autoantibodies against transglutaminase-3	IgA autoantibodies against transglutaminase-3	IgA autoantibodies against transglutaminase-3	
179	119	required_for	Tinea versicolor	potassium hydroxide preparation	potassium hydroxide preparation	potassium hydroxide preparation	
180	179	required_for	Cyanotic Congenital Heart Disease	ECG	ECG... are required	ECG...	
181	257	pathognomonic_for	Pyogenic flexor tenosynovitis	Kanavel signs	91 to 97% sensitive for pyogenic flexor tenosynovitis	These signs are 91 to 97% sensitive for pyogenic flexor tenosynovitis, however, with a reduced specificity of 51 to 69%.[13] Other etiologies of tenosynovitis present with a variety of physical manifestations.	
182	257	required_for	Abscess	afebrile	continue for 24 to 48 hours after the patient becomes afebrile	Other antibiotics with high therapeutic efficacy that may be options as single agents include extended-spectrum antibiotics (cefoxitin, cefotetan, cefotaxime, ceftizoxime), beta-lactamase inhibitors (ticarcillin-clavulanate), carbapenems (meropenem, ertapenem), and extended-spectrum penicillins (piperacillin-tazobactam).[3][18][19] Parenteral antibiotics should continue for 24 to 48 hours after th	
183	326	pathognomonic_for	SEA	MRI	The gold standard for diagnosing SEA is magnetic resonance imaging (MRI)	The gold standard for diagnosing SEA is magnetic resonance imaging (MRI), which has almost completely replaced myelography. MRI is as sensitive and specific as CT-myelography.[18] For patients with IEA, CT or MRI can be used, with the latter providing more detailed information.	
184	326	required_for	Osteomyelitis	admission	Children with these conditions are admitted	Children with these conditions are admitted for appropriate intravenous antibiotics.	
185	326	sufficient_for	NVO	biopsy volume >2 mL	obtaining >2 mL of fluid	obtaining >2 mL of fluid	
186	475	required_for	Anterior Interosseous Nerve Syndrome	advanced MRI techniques	Diagnosis of this variant relies on advanced MRI techniques	Diagnosis of this variant relies on advanced MRI techniques and an increasing number of supporting case reports.[16]	
187	475	sufficient_for	tarsal tunnel syndrome	ENG and EMG	ENG and EMG	When done efficiently and effectively, ENG and EMG can lead to the early diagnosis of tarsal tunnel syndrome.[11] By identifying the location of the nerve lesion to the tibial nerve at the level of the medial malleolus, the EMG practitioner can address the causative agent.	
188	49	required_for	Abscess	imaging	Diagnosis of deep abscesses often requires imaging	Diagnosis of deep abscesses often requires imaging	
189	49	sufficient_for	complicated intra-abdominal infection	APACHE II	the panel suggests APACHE II (Acute Physiology Age Chronic Health Evaluation II) as the preferred severity of illness score for risk stratification within 24 ho	the panel suggests APACHE II (Acute Physiology Age Chronic Health Evaluation II) as the preferred severity of illness score for risk stratification within 24 hours of hospital or ICU admission	
190	522	pathognomonic_for	Alzheimer disease	extreme atrophy of the hippocampus	extreme atrophy of the hippocampus	extreme atrophy of the hippocampus	
191	522	required_for	Neurodegenerative disease	neuroprotective strategies	identify potential biomarkers and neuroprotective strategies	identify potential biomarkers and neuroprotective strategies	
192	522	sufficient_for	Lewy Body dementia	1 suggestive feature with 1 or more core features	1 suggestive feature with 1 or more core features	1 suggestive feature with 1 or more core features	
193	56	pathognomonic_for	Kaposi sarcoma	spindle cell vascular proliferation	spindle cell vascular proliferation	spindle cell vascular proliferation	
194	56	required_for	Stage I tumors	physical examination	at 3- to 6-month intervals	Physical examination of stage I tumors should be performed at 3- to 6-month intervals for the first 2 years and then annually.[20] Imaging studies are not generally indicated unless prompted by clinical signs and symptoms.	
195	773	required_for	Primary Tricuspid Regurgitation	worsening right ventricular function	asymptomatic individuals with primary tricuspid regurgitation and worsening right ventricular function	For isolated tricuspid valve surgery, the guidelines recommend intervention for patients with symptoms of right-sided heart failure (class 2a) or asymptomatic individuals with primary tricuspid regurgitation and worsening right ventricular function (class 2b). However, the latest guidelines emphasize that treating primary tricuspid regurgitation before significant right ventricular dysfunction or 	
196	91	pathognomonic_for	cavernous angioma	characteristic imaging findings on MRI	characteristic imaging findings	characteristic imaging findings	
197	91	required_for	Infantile hemangioma	magnetic resonance imaging (MRI)	Imaging studies like ultrasonography, computed tomography (CT), and magnetic resonance imaging (MRI) are indicated to confirm the diagnosis and the extent of de	Imaging studies like ultrasonography, computed tomography (CT), and magnetic resonance imaging (MRI) are indicated to confirm the diagnosis and the extent of deep IH without superficial changes.	
198	91	sufficient_for	Kaposi sarcoma	development	Over 5% of transplant patients who develop a de novo malignancy will develop Kaposi sarcoma	Over 5% of transplant patients who develop a de novo malignancy will develop Kaposi sarcoma	
199	119	pathognomonic_for	Porokeratosis	nonmelanoma skin cancer	will progress to nonmelanoma skin cancer in 6.9% to 30% of cases	will progress to nonmelanoma skin cancer in 6.9% to 30% of cases	
200	119	required_for	Dermatitis Herpetiformis	skin biopsy with tissue pathology and direct immunofluorescence microscopy	Diagnosis of dermatitis herpetiformis is based on clinical signs and symptoms, serological testing, and skin biopsy with tissue pathology and direct immunofluor	Diagnosis of dermatitis herpetiformis is based on clinical signs and symptoms, serological testing, and skin biopsy with tissue pathology and direct immunofluorescence microscopy.	
201	179	required_for	acquired amegakaryocytic thrombocytopenia	coagulation testing	Patients with microangiopathic changes on the peripheral smear should undergo coagulation testing, lactate dehydrogenase, and creatinine to evaluate for dissemi	Hepatic enzymes, coagulation testing, and albumin levels are essential to evaluate liver function. HIV and hepatitis C virus testing should also be incorporated.	
202	257	pathognomonic_for	septic arthritis	positive Gram stain	positive Gram stain	Synovial fluid analysis showing elevated WBC count or a high percentage of polymorphonuclear cells significantly increases the likelihood of a diagnosis of septic arthritis resulting in orthopedic consultation, antibiotic therapy, and admission.[9] Septic arthritis can be confirmed with a positive Gram stain and culture, which will help guide antibiotic therapy.	
203	257	required_for	Septic Arthritis	abnormal synovial fluid macroscopic appearance	abnormal synovial fluid macroscopic appearance	abnormal synovial fluid macroscopic appearance	
204	326	pathognomonic_for	tuberculous spondylitis	preservation of the anterior meningovertebral ligament	preservation of the anterior meningovertebral ligament	In the case of anterior epidural abscess, the preservation of the anterior meningovertebral ligament—a septum anchoring the posterior longitudinal ligament to the periosteum—suggests tuberculous spondylitis with high sensitivity (83.3%) and specificity (100%).	
205	326	required_for	Vertebral osteomyelitis	stabilization	stabilization, if needed	stabilization, if needed	
206	326	sufficient_for	Osteomyelitis	associated abscess	If there is an associated abscess, operative management is required.	If there is an associated abscess, operative management is required.	
207	475	required_for	IgA vasculitis	palpable purpura	petechiae (without thrombocytopenia) or palpable purpura	petechiae (without thrombocytopenia) or palpable purpura	
208	475	sufficient_for	Neuralgic amyotrophy	MRI sensitivity	MRI generally is more sensitive than ultrasound	A combination of ultrasound and MRI with diffusion tensor imaging may prove more helpful than ultrasound alone in helping to firm up a clinical diagnosis of inflammatory polyneuropathy. MRI generally is more sensitive than ultrasound, as MRI can recognize muscle oedema as an early feature of denervation with greater sensitivity than ultrasound.	
209	49	required_for	cardiac abscess	surgical intervention	Without surgical intervention	Without surgical intervention, the prognosis is usually not favorable.	
210	49	sufficient_for	Diverticulitis	colonoscopy	may be confirmed by colonoscopy	A diagnosis of diverticulosis is suspected based on clinical presentation (eg, a history of painless rectal bleeding or unexplained abdominal pain and cramping, altered bowel movements) and may be confirmed by colonoscopy or an X-ray following a barium enema. If the patient presents with extreme abdominal pain, however, the test of choice is typically a computed tomography of the abdomen to avoid 	
211	522	pathognomonic_for	Dementia with Lewy Bodies	cingulate island sign	referred to as the "cingulate island sign"	A notable feature distinguishing Lewy body dementia from Alzheimer disease is the sparing of the posterior cingulate cortex, referred to as the "cingulate island sign" in Lewy body dementia cases.	
212	522	required_for	Amyotrophic lateral sclerosis (ALS)	electromyography	diagnosis is made with ... electromyography	electromyography	
213	522	sufficient_for	Vascular Dementia	Montreal Cognitive Assessment (MoCA)	an emerging consensus supports the preferential use of the Montreal Cognitive Assessment (MoCA)	The initial evaluation of a patient with possible cognitive impairment of vascular origin must include a formal cognitive assessment. In current practice, an emerging consensus supports the preferential use of the Montreal Cognitive Assessment (MoCA) over the use of the Mini-Mental State Examination (MMSE), as the former is better able to assess executive function and the latter possesses troubles	
214	56	pathognomonic_for	synovial sarcoma	t(X,18) rearrangement	the exclusion of the t(X,18) rearrangement which is characteristic of synovial sarcoma	The distinction between SETTLE and synovial sarcoma can be made only after the exclusion of the t(X,18) rearrangement which is characteristic of synovial sarcoma.	
215	56	required_for	Leiomyosarcoma of the retroperitoneum	en bloc resection	en bloc resection of the leiomyosarcoma along with any involved adjacent organs	An en bloc resection of the leiomyosarcoma along with any involved adjacent organs is associated with the best outcome for resectable tumors.[25] Because leiomyosarcomas are usually well-defined, compression of adjacent organs rather than invasion is a common intraoperative finding and sometimes allows preservation of surrounding organs. Hysterectomy and en bloc resection of the leiomyosarcoma are	
216	773	required_for	Pulmonary Hypertension	acute reactivity to intravenous epoprostenol	patients who have previously demonstrated acute reactivity to inhaled nitric oxide or intravenous epoprostenol	A trial of CCB treatment should only be conducted in patients who have previously demonstrated acute reactivity to inhaled nitric oxide or intravenous epoprostenol.	
217	91	pathognomonic_for	Solitary Fibrous Tumor	NAB2 and STAT6 genes fusion	The molecular hallmark of these tumors is the recurrent fusion of NAB2 and STAT6 genes	The molecular hallmark of these tumors is the recurrent fusion of NAB2 and STAT6 genes located at chromosomal region 12q13.	
218	91	required_for	Infantile Hemangiomas	biopsy	a biopsy is rarely indicated	a biopsy is rarely indicated	
219	91	sufficient_for	Meningioma	standard structural MRI	standard structural MRI	standard structural MRI	
220	119	pathognomonic_for	porokeratosis	cornoid lamella	will show the cornoid lamella and will be diagnostic	will show the cornoid lamella and will be diagnostic	
221	119	required_for	Lichen planus	biopsy with direct immunofluorescence	biopsy with direct immunofluorescence	therefore, biopsy with direct immunofluorescence is especially useful in these cases.	
222	179	required_for	Lesions with severe pulmonary stenosis or atresia	immediate PGE1	Lesions with severe pulmonary stenosis or atresia require immediate PGE1	Lesions with severe pulmonary stenosis or atresia require immediate PGE1 to keep the PDA open along with urgent surgical consultation. Both transposition of the great vessels and tetralogy of Fallot are initially treated with PGE1 and are def nitively treated with surgical correction.	
223	257	pathognomonic_for	Infectious flexor tenosynovitis	Kanavel signs	Kanavel signs	For infectious flexor tenosynovitis, the “Kanavel signs” are important to recognize:[12] These signs are 91 to 97% sensitive for pyogenic flexor tenosynovitis, however, with a reduced specificity of 51 to 69%.[13] Other etiologies of tenosynovitis present with a variety of physical manifestations.	
224	257	required_for	Septic Arthritis	aspiration of the hip	aspiration of the hip	aspiration of the hip	
225	326	required_for	Spondylodiscitis	radiological evidence	clinical, radiological, and microbiological evidence	clinical, radiological, and microbiological evidence	
226	326	sufficient_for	Spinal Epidural Abscess	MRI scan	combined with an MRI scan for the more exact localization of the pathology	combined with an MRI scan for the more exact localization of the pathology	
227	475	required_for	Mononeuropathy	clinical examination	In all cases of mononeuropathy, the diagnosis can be made through the clinical examination	In all cases of mononeuropathy, the diagnosis can be made through the clinical examination and then confirmed with electrodiagnostic studies in the subacute period, if necessary.	
228	475	sufficient_for	Neuralgic Amyotrophy	MRI	MRI generally is more sensitive than ultrasound	A combination of ultrasound and MRI with diffusion tensor imaging may prove more helpful than ultrasound alone in helping to firm up a clinical diagnosis of inflammatory polyneuropathy. MRI generally is more sensitive than ultrasound, as MRI can recognize muscle oedema as an early feature of denervation with greater sensitivity than ultrasound.	
229	49	required_for	appendicitis	surgical consultation	Early surgical consultation is essential	Early surgical consultation is essential for all children being evaluated for suspected appendicitis, particularly when the clinical presentation is concerning or imaging is suggestive of disease. Prompt involvement of the surgical team facilitates timely decision-making and intervention.	
230	49	sufficient_for	Acute intra-abdominal abscess	CT	In non-pregnant adults and adolescents with suspected acute intra-abdominal abscess, we suggest obtaining an abdominal CT as the initial diagnostic imaging moda	In non-pregnant adults and adolescents with suspected acute intra-abdominal abscess, we suggest obtaining an abdominal CT as the initial diagnostic imaging modality (	
231	522	pathognomonic_for	Lewy Body Dementia	Lewy bodies	Lewy body dementia is chronic cognitive deterioration characterized by cellular inclusions called Lewy bodies in the cytoplasm of cortical neurons	Lewy Body Dementia Lewy body dementia is chronic cognitive deterioration characterized by cellular inclusions	
232	522	required_for	Lewy Body dementia	2 core features	2 core features	2 core features	
233	522	sufficient_for	vitamin B12 deficiency	single blood test	a single blood test can be enough to support a diagnosis of vitamin B12 deficiency	a single blood test can be enough to support a diagnosis of vitamin B12 deficiency	
234	56	pathognomonic_for	synovial sarcoma	t(X,18) rearrangement	the t(X,18) rearrangement which is characteristic of synovial sarcoma	The distinction between SETTLE and synovial sarcoma can be made only after the exclusion of the t(X,18) rearrangement which is characteristic of synovial sarcoma.	
235	56	required_for	Synovial Sarcoma	SYT-SSX fusion gene	SYT-SSX fusion gene	SYT-SSX fusion gene	
236	773	required_for	Cardiomyopathy	nuclear medicine imaging	Echocardiogram, cardiac MRI, cardiac CT, and nuclear medicine imaging are the primary imaging modalities used	Echocardiogram, cardiac MRI, cardiac CT, and nuclear medicine imaging are the primary imaging modalities used	
237	91	pathognomonic_for	Hodgkin Lymphoma (HL)	Hodgkin Reed-Sternberg (HRS) cells	presence of pathological Hodgkin Reed-Sternberg (HRS) cells	presence of pathological Hodgkin Reed-Sternberg (HRS) cells	
238	91	required_for	Infantile Hemangiomas	computed tomography	computed tomography is a less commonly used imaging modality	computed tomography is a less commonly used imaging modality	
239	119	pathognomonic_for	Dermatitis Herpetiformis	granular deposits of IgA	granular deposits of IgA	Direct immunofluorescence reveals granular deposits of IgA in the papillary dermis, which is a diagnostic feature of the condition.	
240	119	required_for	Dermatitis Herpetiformis	clinical signs and symptoms	Diagnosis of dermatitis herpetiformis is based on clinical signs and symptoms	Diagnosis of dermatitis herpetiformis is based on clinical signs and symptoms, serological testing, and skin biopsy with tissue pathology and direct immunofluorescence microscopy.	
241	179	required_for	Congenital Heart Disease	cardiac testing	the healthcare team must be able to recognize the need for cardiac testing	An exact diagnosis of the type of defect is not necessary, but the healthcare team must be able to recognize the need for cardiac testing, initiate stabilization, and seek appropriate consultation.[13] After immediate stabilization of the cardiovascular system, providers should investigate other conditions, such as chromosomal abnormalities, that commonly present alongside congenital heart defects	
242	257	pathognomonic_for	Septic arthritis	WBCs greater than 1,100 cells/μL	A prosthetic joint with WBCs greater than 1,100 cells/μL is considered septic	A prosthetic joint with WBCs greater than 1,100 cells/μL is considered septic	
243	257	required_for	Abscesses	anaerobic transport medium	sample should be sent in an anaerobic transport medium	sample should be sent in an anaerobic transport medium	
244	326	required_for	Osteomyelitis	laboratory testing	Diagnosing osteomyelitis relies on clinical evaluation, laboratory testing	Diagnosing osteomyelitis relies on clinical evaluation, laboratory testing, and imaging studies.	
245	326	sufficient_for	Vertebral osteomyelitis	MRI diagnosis	MRI most reliably establishes the diagnosis	MRI most reliably establishes the diagnosis	
246	475	required_for	Radial nerve injury	nerve conduction studies	nerve conduction studies	nerve conduction studies	
247	475	sufficient_for	Neuralgic amyotrophy	suprascapular nerve CSA > 4.2 mm2	A suprascapular nerve CSA of >4.2 mm2	The suprascapular nerve is the most frequently affected nerve seen on ultrasound as focal thickening of this nerve. A suprascapular nerve CSA of >4.2 mm2 had a sensitivity of 86% and a specificity of 92% for neuralgic amyotrophy.	
248	49	required_for	Abscesses	anaerobic transport medium	sample should be sent in an anaerobic transport medium	sample should be sent in an anaerobic transport medium	
249	49	sufficient_for	Acute diverticulitis	US	In pregnant adults with suspected acute diverticulitis, US or MRI can be considered for imaging	In pregnant adults with suspected acute diverticulitis, should CT, US (ultrasound), or MRI be obtained as the initial imaging modality? In pregnant adults with suspected acute diverticulitis, US or MRI can be considered for imaging;	
250	522	pathognomonic_for	pernicious anemia	intrinsic factor antibodies	a positive test is diagnostic of pernicious anemia	a positive test is diagnostic of pernicious anemia	
251	522	required_for	Vascular Dementia	laboratory assessment	The standard workup for vascular dementia includes neuroimaging, laboratory assessment, and, if at all possible, neuropsychological testing	The initial evaluation of a patient with possible cognitive impairment of vascular origin must include a formal cognitive assessment. In current practice, an emerging consensus supports the preferential use of the Montreal Cognitive Assessment (MoCA) over the use of the Mini-Mental State Examination (MMSE), as the former is better able to assess executive function and the latter possesses troubles	
252	522	sufficient_for	Dementia with Lewy bodies	I-FP-CIT SPECT	use 123I-FP-CIT SPECT	use 123I-FP-CIT SPECT	
253	56	pathognomonic_for	clear cell sarcoma	EWSR1::ATF1/CREB1 rearrangement	EWSR1::ATF1/CREB1 rearrangement favoring clear cell sarcoma	In such cases, while molecular biology can provide essential data, such as the presence of BRAF, KIT, or TERT mutations commonly found in melanoma and the presence of EWSR1::ATF1/CREB1 rearrangement favoring clear cell sarcoma, clinical-pathological correlation remains indispensable.	
254	56	required_for	Leiomyosarcoma	tumor location	Prognosis is determined by the tumor's location	Prognosis is determined by the tumor's location	
255	773	required_for	Pulmonary Arterial Hypertension	early diagnosis	the importance of early diagnosis	the importance of early diagnosis	
256	91	required_for	PHACE syndrome	major criterion	one major criterion	The diagnostic basis of definite PS is the presence of a facial hemangioma of more than 5 cm with one major criterion or two minor criteria. Possible PS requires the presence of cervicofacial hemangioma with one minor criterion.[11]	
257	119	pathognomonic_for	porokeratosis	cornoid lamella	The distinctive histopathologic feature of porokeratosis is a cornoid lamella	The distinctive histopathologic feature of porokeratosis is a cornoid lamella	
258	119	required_for	celiac disease	small bowel biopsy	A small bowel biopsy is necessary	A small bowel biopsy is necessary	
259	179	required_for	Congenital amegakaryocytic thrombocytopenia	c-MPL gene testing	Clinicians perform c-MPL gene testing	Clinicians perform c-MPL gene testing when a reduced number of megakaryocytes are present on the biopsy.[27]	
260	257	pathognomonic_for	Infectious Flexor Tenosynovitis	Kanavel signs	the “Kanavel signs” are important to recognize	For infectious flexor tenosynovitis, the “Kanavel signs” are important to recognize:[12] These signs are 91 to 97% sensitive for pyogenic flexor tenosynovitis, however, with a reduced specificity of 51 to 69%.[13] Other etiologies of tenosynovitis present with a variety of physical manifestations.	
261	257	required_for	Abscess	imaging	Diagnosis of deep abscesses often requires imaging	Diagnosis of deep abscesses often requires imaging	
262	326	required_for	TB spondylitis	microbiologic confirmation	Definitive diagnosis relies on microbiologic confirmation	Definitive diagnosis relies on microbiologic confirmation from biopsy or surgical specimens, although clinical suspicion and imaging often guide early management. Radiologists support early recognition through careful image interpretation, while microbiologists and pathologists enable timely confirmation.	
263	326	sufficient_for	TB	6-month regimen	standard “one-size-fits-all” 6-month regimen	Historically, anti-TB regimens have required many months of treatment, challenging patient adherence. however, a standard “one-size-fits-all” 6-month regimen may be too long for some and not long enough for others.	
264	475	required_for	Anterior Interosseous Syndrome	conservative therapy failure	If conservative therapy fails beyond 3 months	If conservative therapy fails beyond 3 months	
265	475	sufficient_for	ulnar neuropathy	nerve conduction studies	NCS and EMG can be used to localize and confirm the diagnosis	When doubt exists, NCS and EMG can be used to localize and confirm the diagnosis and assess the severity of the neuropathy.[9] If surgical intervention is indicated, electrodiagnostic testing can aid the surgeon in identifying the exact area of nerve entrapment. Performing electrodiagnostic studies in patients with ulnar nerve entrapment has few absolute contraindications.	
266	49	required_for	Surgical Site Infection	antibiotics to cover staphylococcus aureus	Antibiotics to cover staphylococcus aureus and other organisms such as Pseudomonas are usually initiated	Also, antibiotic prophylaxis and skin decontamination are important factors in preventing SSI.[10] Antibiotics to cover common pathogens in case of surgical site infections need to be employed early and later adjusted per reports from cultures. Antibiotics to cover staphylococcus aureus and other organisms such as Pseudomonas are usually initiated, depending upon the clinical scenario.	
267	49	sufficient_for	Diverticulitis	cross-sectional imaging	cross-sectional imaging (US, CT) is diagnostic	Although there is no role for endoscopy in acute diverticulitis as long as cross-sectional imaging (US, CT) is diagnostic, this statement hints at the direction shared by the German guideline:	
268	522	pathognomonic_for	Alzheimer Disease	hyper-phosphorylated tau deposition	fibrillar beta-amyloid and hyper-phosphorylated tau deposition	the leading form of dementia pathologically hallmarked by fibrillar beta-amyloid and hyper-phosphorylated tau deposition in the central nervous system (McKhann G, Drachman D, et al, Neurology, 1984).	
269	522	required_for	Vascular Dementia	comorbid Parkinson's disease dementia	if they have suspected comorbid Alzheimer's disease, Parkinson's disease dementia	if they have suspected comorbid Alzheimer's disease, Parkinson's disease dementia	
270	522	sufficient_for	vascular dementia	CT	use CT	If MRI is unavailable or contraindicated, use CT.	
271	56	pathognomonic_for	Osteosarcoma	malignant osteoid matrix production	malignant osteoid matrix production	malignant osteoid matrix production	
272	56	required_for	Squamous cell carcinoma	keratinization	keratinization	The usual type of squamous cell carcinoma demonstrates keratinization, epithelial pearl formation, and various degrees of mitotic activity. Squamous cell carcinomas have been classically graded using the Broder classification or the World Health Organization system, which defines the level of differentiation based on keratinization, nuclear pleomorphism, number of mitoses, and other features.[50]	
273	773	required_for	Cardiomyopathy	echocardiography	Evaluation typically includes echocardiography	Evaluation typically includes echocardiography	
274	91	required_for	cavernous malformations	MRI	MRI is the standard imaging modality for the diagnosis of cavernous malformations	MRI is the standard imaging modality for the diagnosis of cavernous malformations	
275	119	pathognomonic_for	dermatitis herpetiformis	IgA deposition in papillary dermis	deposition of IgA in the papillary dermis	The diagnostic finding is that of deposition of IgA in the papillary dermis in a granular or fibrillar pattern.	
276	119	required_for	Syphilis	histological examination	Histological examination could be needed to differentiate syphilis from guttate psoriasis	que psoriasis may be challenging and is generally supported by histological examination. Histological examination could be needed to differentiate syphilis from guttate psoriasis.	
277	179	required_for	Congenital Heart Disease	embryological cardiac development	Understanding the embryological cardiac development is necessary	Understanding the embryological cardiac development is necessary to understand the pathophysiology of congenital heart disease. Embryological development of the heart is highly regulated but still influenced by genetic as well as environmental influences.	
278	257	required_for	Abscess	serial TEE	serial TEE	The development of a new AVB due to an abscess indicates urgent cardiac surgery.[15] These recommended that patients who do not undergo surgery are monitored closely with serial TEE repeated at 2, 4, and 8 weeks after completion of antibiotic therapy.	
279	326	required_for	Brucellosis	bacteriologic tests	the clinical diagnosis usually must be supported by the results of bacteriologic and/or serologic tests	the clinical diagnosis usually must be supported by the results of bacteriologic and/or serologic tests	
280	475	required_for	Ulnar Neuropathy	imaging	imaging	Participants will gain an understanding of ulnar neuropathy's clinical manifestations, including paresthesias of the fourth and fifth digits, hand weakness, impaired grip and pinch strength, and, in advanced disease, intrinsic muscle atrophy, as well as the diagnostic processes that rely on a focused clinical evaluation supported by electrodiagnostic studies and imaging when structural causes are 	
281	475	sufficient_for	Anterior Interosseous Syndrome	surgical treatment	surgery might be offered in select cases	surgery might be offered in select cases	
282	49	required_for	Complicated diverticulitis	radiology	Radiology is crucial in differentiating diverticulitis	Radiology is crucial in differentiating diverticulitis from other diseases with similar findings and guiding treatment decisions, including conservative management, percutaneous drainage, and surgical intervention.	
283	49	sufficient_for	Acute appendicitis	Abdominopelvic MRI	Abdominopelvic MRI is considered highly sensitive and specific for diagnosing acute appendicitis	Abdominopelvic MRI is considered highly sensitive and specific for diagnosing acute appendicitis. The indications for MRI evaluation of suspected acute appendicitis are limited to particular patient populations for whom radiation exposure is less desirable.	
284	522	pathognomonic_for	Alzheimer Disease (AD)	hyper-phosphorylated tau	hyper-phosphorylated tau	The most common form of dementia pathologically hallmarked by fibrillar beta-amyloid and hyper-phosphorylated tau accumulations in the central nervous system.[19] Several PERG studies have provided evidence of retinal electrophysiologic dysfunction in AD.	
285	522	required_for	Dementia with Lewy Bodies	parkinsonian syndrome	a parkinsonian syndrome (usually symmetric), fluctuations in behavior and cognition, and recurrent hallucinations	a parkinsonian syndrome (usually symmetric), fluctuations in behavior and cognition, and recurrent hallucinations	
286	522	sufficient_for	Dementia with Lewy bodies	I-MIBG cardiac scintigraphy	consider 123I-MIBG cardiac scintigraphy	consider 123I-MIBG cardiac scintigraphy	
287	56	required_for	osteosarcoma	abdominal and pelvic CT scan	with an abdominal and pelvic CT scan if metastatic disease is suspected	with an abdominal and pelvic CT scan if metastatic disease is suspected	
288	773	required_for	takotsubo cardiomyopathy	coronary angiography	can only be made after coronary angiography	The diagnosis of stress cardiomyopathy should be suspected in adults (particularly postmenopausal women) who present with a suspected acute coronary, particularly when the clinical manifestations and electrocardiographic abnormalities are out of proportion to the degree of elevation in cardiac biomarkers. It is important to emphasize that takotsubo cardiomyopathy is a diagnosis of exclusion that c	
289	91	required_for	Metastasis	graded prognostic assessment	Recursive partitioning analysis and graded prognostic assessment are used to prognosticate patients with brain metastasis	Recursive partitioning analysis and graded prognostic assessment are used to prognosticate patients with brain metastasis	
290	119	pathognomonic_for	porokeratosis	cornoid lamella	cornoid lamella, a column of tightly fitted parakeratotic cells in the upper epidermis	cornoid lamella, a column of tightly fitted parakeratotic cells in the upper epidermis	
291	119	required_for	Lichen planus	systemic manifestations	Diagnosis requires careful clinical correlation with transplantation history and systemic manifestations	Diagnosis requires careful clinical correlation with transplantation history and systemic manifestations.	
292	179	required_for	acquired amegakaryocytic thrombocytopenia	activated partial thromboplastin time	Clinicians should consider cultures, prothrombin time, activated partial thromboplastin time, and fibrinogen to evaluate for sepsis or disseminated intravascula	Clinicians should consider cultures, prothrombin time, activated partial thromboplastin time, and fibrinogen to evaluate for sepsis or disseminated intravascular coagulation in patients with a fever or evidence of systemic infection.	
293	257	required_for	Pyogenic Flexor Tenosynovitis	urgent treatment	necessitates urgent treatment	necessitates urgent treatment	
294	326	required_for	Vertebral osteomyelitis	prevention of complications	prevention of complications	prevention of complications	
295	475	required_for	IgA vasculitis	petechiae	petechiae (without thrombocytopenia) or palpable purpura	petechiae (without thrombocytopenia) or palpable purpura	
296	475	sufficient_for	ulnar neuropathy	EMG	NCS and EMG can be used to localize and confirm the diagnosis	When doubt exists, NCS and EMG can be used to localize and confirm the diagnosis and assess the severity of the neuropathy.[9] If surgical intervention is indicated, electrodiagnostic testing can aid the surgeon in identifying the exact area of nerve entrapment. Needle EMG is contraindicated in those with severe bleeding disorders.	
297	49	required_for	cardiac abscess	serial TEE	monitored closely with serial TEE repeated at 2, 4, and 8 weeks	The development of a new AVB due to an abscess indicates urgent cardiac surgery.[15] These recommended that patients who do not undergo surgery are monitored closely with serial TEE repeated at 2, 4, and 8 weeks after completion of antibiotic therapy.	
298	49	sufficient_for	Perinephric abscess	CT with contrast	CT with contrast	CT with contrast is the best imaging modality for diagnosis of perinephric abscess and evaluation of abscess extension into surrounding organs.	
299	522	required_for	Amyotrophic lateral sclerosis (ALS)	nerve conduction studies	diagnosis is made with nerve conduction studies	diagnosis is made with nerve conduction studies	
300	522	sufficient_for	Vascular Dementia	extensive white matter disease	extensive white matter disease	extensive white matter disease	
301	56	required_for	Undifferentiated Pleomorphic Sarcoma	chest CT scan	All patients with high-grade soft tissue sarcomas, including UPS, require staging with a chest CT scan	CT scans with contrast are useful initial studies. All patients with high-grade soft tissue sarcomas, including UPS, require staging with a chest CT scan due to the high propensity for pulmonary metastases.	
302	773	required_for	Patent Foramen Ovale	testing	it is reasonable to screen high-risk individuals	However, it is reasonable to screen high-risk individuals such as those who have experienced migraine with aura or congenital heart disease or who have a family history of patent foramen ovale.[2] When recommending patent foramen ovale testing and interpreting test results, the practitioner should remember that patent foramen ovale is not the only source of arteriovenous shunting, as previously me	
303	91	required_for	Possible PS	cervicofacial hemangioma	cervicofacial hemangioma	The diagnostic basis of definite PS is the presence of a facial hemangioma of more than 5 cm with one major criterion or two minor criteria. Possible PS requires the presence of cervicofacial hemangioma with one minor criterion.[11]	
