case_key,gold,family,sampling_stratum,sampling_probability,sampling_weight,full_label_reach,best_source,diagnostic_support,matched_concept,source_chunk_ids,source_excerpt,matched_vignette_clues,missing_qualifiers,bridge_operations,distractor_risks,confidence,review_notes
MCR_v1_seq100/49,StumpAppendicitis,MCR,MCR_v1_seq100,0.08,12.5,qualifier_stripped,Merck,D2_direct_but_partial_or_general,acute appendicitis,merck19e_ch011_acute-abdomen-surgical-gastroenterology__chunk_00023,"Acute appendicitis commonly causes right-lower-quadrant pain, nausea, leukocytosis and low-grade fever, but the manual does not describe stump recurrence.",right iliac fossa pain and fever | marked neutrophilic leukocytosis | CT tubular structure at cecal pole with collection | appendectomy eight months earlier and adjacent clips,residual appendiceal stump entity | postappendectomy recurrence mechanism,spelling_normalization | modifier_stripping | temporal_relation | imaging_pattern_to_entity,prior appendectomy can falsely exclude appendicitis | cecal diverticulitis and duplicated appendix are near-neighbors,high,The base disease is well supported; the gold-defining postoperative qualifier is absent.
MCR_v1_seq100/56,Spindle cell squamous cell carcinoma,MCR,MCR_v1_seq100,0.08,12.5,alias,Merck,D2_direct_but_partial_or_general,spindle-cell carcinoma as SCC variant,merck19e_ch022_tumors-of-the-gi-tract__chunk_00002,"Spindle-cell carcinoma is described as a poorly differentiated variant of squamous-cell carcinoma, but in esophageal rather than oral disease.",gingival polypoid mass with bone destruction | malignant spindle cells and atypical mitoses | p63/p53 positivity | remote oral SCC and radiation,oral/gingival site | p63-positive cytokeratin-negative interpretation | radiation-associated recurrence distinction,synonym_alias | anatomy_site_normalization | immunophenotype_to_entity | temporal_relation,mesenchymal sarcoma is favored by spindle morphology and vimentin | remote radiation creates a post-radiation-sarcoma anchor,medium,"The histologic relationship is useful, but site and immunophenotypic edge case are not resolved."
MCR_v1_seq100/65,myelolipoma,MCR,MCR_v1_seq100,0.08,12.5,none,none,D0_absent,,,,well-encapsulated posterior mediastinal mass | mixed marrow/fat tissue expected on pathology | cytopenias and eosinophilia,myelolipoma entity | extra-adrenal/posterior-mediastinal presentation | fat-plus-hematopoietic-tissue imaging/pathology,anatomy_site_normalization | imaging_pattern_to_entity | pathology_to_entity,posterior mediastinal location favors neurogenic tumor | cytopenias favor extramedullary hematopoiesis/myeloid disease,high,No myelolipoma or valid equivalent was found in the three corpora.
MCR_v1_seq100/74,Catecholaminergic polymorphic ventricular tachycardia,MCR,MCR_v1_seq100,0.08,12.5,exact,WikEM,D3_direct_vignette_matched,catecholaminergic polymorphic ventricular tachycardia,wikem_syndrome__syncope-peds__chunk_0005 | wikem_syndrome__syncope__chunk_0003,CPVT may present with VT/VF during emotional stress despite a regular baseline ECG.,collapse/VF during emotional-noise stress | young patient | normal electrolytes and structural assessment | normal QT and no Brugada/pre-excitation,exercise-provocation or genetic confirmation,exact_surface | acronym_expansion | trigger_relation_binding | negative_evidence_handling,risperidone and channelopathies are competing anchors | single event without provocation testing leaves other inherited arrhythmias,high,A terse WikEM line nonetheless contains the two decisive discriminators: adrenergic trigger and normal resting ECG.
MCR_v1_seq100/91,Angiosarcoma,MCR,MCR_v1_seq100,0.08,12.5,exact,Merck,D1_parent_component_or_list_only,angiosarcoma (generic/lymphedema-associated),merck19e_ch219_peripheral-venous-lymphatic-disorders__chunk_00028 | merck19e_ch219_peripheral-venous-lymphatic-disorders__chunk_00029,Merck mentions angiosarcoma mainly as a rare cancer arising in severe chronic lymphedema.,recurrent occipital hemorrhage | invasive extra-axial mass | branching vascular channels | CD31 and Fli-1 positivity,primary intracranial/meningeal angiosarcoma | hemorrhagic imaging phenotype | endothelial immunophenotype,exact_surface | anatomy_site_normalization | immunophenotype_to_entity | pathology_to_entity,cavernous angioma matches hemorrhagic imaging | generic lymphedema association is irrelevant and may mislead,high,"Exact label occurs, but the source lacks diagnostic content transferable to the CNS case."
MCR_v2_seq100/133,ProstateStromalSarcoma,MCR,MCR_v2_seq100,0.08,12.5,parent_component,Merck,D1_parent_component_or_list_only,stromal sarcoma (other organs),merck19e_ch255_breast-disorders__chunk_00031 | merck19e_ch256_gynecologic-tumors__chunk_00023,"Stromal sarcoma appears only in breast and endometrial contexts, not as a prostatic stromal tumor.",young man with urinary retention | large invasive prostatic mass | low PSA | biopsy favors stromal sarcoma versus STUMP,prostatic stromal sarcoma entity | STUMP differential | prostate-specific immunophenotype/invasion criteria,spelling_normalization | modifier_stripping | anatomy_site_normalization | pathology_to_entity,substring retrieval returns breast/endometrial disease | common prostate carcinoma is inconsistent with age and low PSA but dominates generic retrieval,high,"Only cross-organ homonyms are available, so the parent bridge is weak and hazardous."
MCR_v2_seq100/146,Diffuse large B cell lymphoma,MCR,MCR_v2_seq100,0.08,12.5,exact,Merck,D2_direct_but_partial_or_general,diffuse large B-cell lymphoma / NHL,merck19e_ch118_lymphomas__chunk_00013 | merck19e_ch118_lymphomas__chunk_00014 | merck19e_ch118_lymphomas__chunk_00015,NHL can present at extranodal GI sites with weight loss/night sweats; diagnosis requires tissue biopsy and immunophenotyping.,weight loss and night sweats | persistent distal ileal disease/stricture | negative enteric studies | eventual tissue diagnosis of DLBCL,DLBCL-specific histology and markers | ileitis/stricture phenotype versus Crohn/TB,exact_surface | anatomy_site_normalization | pathology_to_entity | negative_evidence_handling,positive QuantiFERON and origin from endemic region favor intestinal TB | calprotectin and ileitis favor Crohn disease,medium,"The parent lymphoma and extranodal GI mechanism are directly useful, but subtype-level discrimination is absent."
MCR_v2_seq100/179,hypoxia-induced thrombocytopenia,MCR,MCR_v2_seq100,0.08,12.5,parent_component,Merck,D1_parent_component_or_list_only,neonatal thrombocytopenia,merck19e_ch263_pregnancy-complicated-by-disease__chunk_00013 | merck19e_ch275_perinatal-hematologic-disorders__chunk_00004,"Neonatal thrombocytopenia is discussed mainly in maternal-antibody and hematopoietic contexts, not as a consequence of cyanotic hypoxia.",cyanotic congenital heart disease | platelets vary with oxygenation | negative immune tests | no IVIG response | normal coagulation and smear,hypoxia-induced mechanism | oxygen-saturation/platelet temporal relation | cyanotic-heart-disease association,modifier_stripping | temporal_relation | negative_evidence_handling | physiology_relation_binding,immune neonatal thrombocytopenia is a source-supported but refuted alternative | postoperative consumption confounds the platelet trajectory,high,Only the outcome term is covered; the gold-defining physiologic cause is absent.
MCR_v2_seq100/196,vertebral hemangioma,MCR,MCR_v2_seq100,0.08,12.5,parent_component,Merck,D1_parent_component_or_list_only,hemangioma (nonvertebral),merck19e_ch030_liver-masses-granulomas__chunk_00002 | merck19e_ch089_benign-tumors__chunk_00011,"The manual describes hepatic/cutaneous hemangiomas, not vertebral hemangioma or its aggressive epidural phenotype.",expansile T1 vertebral lesion | epidural extension and cord compression | rapid myelopathy | no primary malignancy or inflammatory signal,vertebral hemangioma entity | cord-compressive aggressive imaging pattern | trabecular CT/MRI signs,modifier_stripping | anatomy_site_normalization | imaging_pattern_to_entity | negative_evidence_handling,"generic hemangioma features do not transfer across organs | metastasis, infection and primary bone malignancy fit aggressive imaging",high,"A broad vascular-tumor parent exists, but it is anatomically and diagnostically non-transferable."
MCR_v2_seq100/202,Mantle cell lymphoma,MCR,MCR_v2_seq100,0.08,12.5,exact,Merck,D1_parent_component_or_list_only,mantle cell lymphoma,merck19e_ch118_lymphomas__chunk_00012 | merck19e_ch118_lymphomas__chunk_00016,Mantle-cell lymphoma is named in WHO classification and treatment context but lacks a diagnostic phenotype or immunophenotype.,slow painless bilateral hard-palate swelling | no nodes or systemic symptoms | excisional pathology expected to define lymphoma,oral extranodal presentation | cyclin D1/SOX11 or t(11;14) | distinction from benign palatal lesions,exact_surface | anatomy_site_normalization | pathology_to_entity,benign symmetric palatal tumor is clinically favored | name-only retrieval cannot distinguish lymphoma subtype,high,Exact surface reach is a false comfort: available chunks do not explain the vignette or establish MCL.
MCR_v2_seq100/215,ClearCellSarcoma,MCR,MCR_v2_seq100,0.08,12.5,parent_component,Merck,D1_parent_component_or_list_only,soft-tissue sarcoma / melanoma (separate),merck19e_ch123_tumor-immunology__chunk_00007,Soft-tissue sarcoma and melanoma occur only as broad cancer classes in the available material; clear-cell sarcoma is absent.,slow extremity nodule with recent growth/pain | nested spindle/epithelioid clear cells | Melan-A and HMB-45 positivity | no epidermal junctional component,clear-cell sarcoma entity | melanoma-of-soft-parts synonym | EWSR1-ATF1 fusion | melanocytic-marker differential,spelling_normalization | synonym_alias | parent_class_expansion | immunophenotype_to_entity,melanocytic markers strongly favor melanoma | generic sarcoma chunks provide no way to resolve lineage,high,Only disconnected parent classes are available; the defining entity and molecular bridge are absent.
MCR_v2_seq100/232,eccrine chromhidrosis,MCR,MCR_v2_seq100,0.08,12.5,none,none,D0_absent,,,,green-black sweat-associated palmar/plantar material | material within dilated eccrine duct | severe conjugated hyperbilirubinemia | negative microbial/iron stains,eccrine chromhidrosis entity | bilirubin-to-sweat mechanism | distinction from pseudochromhidrosis,anatomy_relation_binding | pathology_to_entity | lab_threshold_to_qualitative | etiology_trigger_link,Pseudomonas or pigment deposition are option-level color distractors | coexisting pityriasis rosea explains the generalized eruption but not acral pigment,high,No chromhidrosis or valid equivalent was found.
MCR_v2_seq100/234,SpindleCellHemangioma,MCR,MCR_v2_seq100,0.08,12.5,parent_component,Merck,D1_parent_component_or_list_only,hemangioma / vascular tumor (generic),merck19e_ch089_benign-tumors__chunk_00011 | merck19e_ch089_benign-tumors__chunk_00012,"The manual describes generic cutaneous vascular lesions and infantile hemangioma, not spindle-cell hemangioma of bone.",adult frontal-bone lytic mass | soap-bubble cortical destruction | avid enhancement | painless circumscribed lesion,spindle-cell hemangioma entity | osseous/frontal location | histologic spindle and cavernous components,spelling_normalization | modifier_stripping | anatomy_site_normalization | imaging_pattern_to_entity,generic hemangioma usually implies skin/infancy | eosinophilic granuloma and metastasis fit a destructive skull lesion,high,Only a broad parent is present and its age/site phenotype conflicts with the vignette.
